first_name,last_name,committee,subcommittee,bioguide_id,note
Patty,Murray,Committee on Appropriations,Subcommittee on Financial Services and General Government,M001111,
Patty,Murray,Committee on Appropriations,Subcommittee on Legislative Branch,M001111,
Patty,Murray,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",M001111,
Patty,Murray,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",M001111,
Patty,Murray,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",M001111,
Patty,Murray,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,M001111,
Patty,Murray,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,M001111,
Patty,Murray,Committee on the Budget,,M001111,
Patty,Murray,Committee on Veterans' Affairs,,M001111,
Jerrold,Nadler,Judiciary,,N000002,
Jerrold,Nadler,Transportation and Infrastructure,,N000002,
Richard,Neal,Joint Committee on Taxation,,N000015,
Richard,Neal,Ways and Means,,N000015,
Joe,Neguse,Judiciary,,N000191,
Joe,Neguse,Natural Resources,,N000191,
Joe,Neguse,Rules,,N000191,
Troy,Nehls,Judiciary,,N000026,
Troy,Nehls,"Select Subcomm to Investigate Questions about Jan 6, 2021",,N000026,
Troy,Nehls,Transportation and Infrastructure,,N000026,
Dan,Newhouse,Agriculture,,N000189,
Dan,Newhouse,Appropriations,,N000189,
Dan,Newhouse,Select Comm on the Strategic Competition US and China,,N000189,
Donald,Norcross,Armed Services,,N000188,
Donald,Norcross,Education and Workforce,,N000188,
Ralph,Norman,Budget,,N000190,
Ralph,Norman,Financial Services,,N000190,
Ralph,Norman,Rules,,N000190,
Eleanor,Norton,Oversight and Government Reform,,N000147,
Eleanor,Norton,Transportation and Infrastructure,,N000147,
Zachary,Nunn,Agriculture,,N000193,
Zachary,Nunn,Financial Services,,N000193,
Zachary,Nunn,Select Comm on the Strategic Competition US and China,,N000193,
Jay,Obernolte,Budget,,O000019,
Jay,Obernolte,Energy and Commerce,,O000019,
Jay,Obernolte,"Science, Space, and Technology",,O000019,
Alexandria,Ocasio-Cortez,Energy and Commerce,,O000172,
Andrew,Ogles,Financial Services,,O000175,
Andrew,Ogles,Homeland Security,,O000175,
Johnny,Olszewski,Foreign Affairs,,O000176,
Johnny,Olszewski,Small Business,,O000176,
Ilhan,Omar,Budget,,O000173,
Ilhan,Omar,Education and Workforce,,O000173,
Robert,Onder,Education and Workforce,,O000177,
Robert,Onder,Judiciary,,O000177,
Robert,Onder,Transportation and Infrastructure,,O000177,
Jon,Ossoff,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",O000174,
Jon,Ossoff,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies",O000174,
Jon,Ossoff,Committee on Appropriations,Subcommittee on Energy and Water Development,O000174,
