first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Jim,Banks,Committee on Armed Services,Subcommittee on Personnel,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,Committee on Armed Services,Subcommittee on Seapower,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,Committee on Armed Services,Subcommittee on Strategic Forces,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Banking, Housing, & Urban Affairs",Subcommittee on Economic Policy,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Banking, Housing, & Urban Affairs",Subcommittee on National Security & Intl Trade & Finance,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Banking, Housing, & Urban Affairs","Subcommittee on Securities, Insurance, & Investment",N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Health, Education, Labor, & Pensions",Subcommittee on Education & the American Family,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Health, Education, Labor, & Pensions",Subcommittee on Employment & Workplace Safety,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Health, Education, Labor, & Pensions",Subcommittee on Primary Health & Retirement Security,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,Committee on Veterans' Affairs,,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Andy,Barr,Financial Services,,N00031233,H0KY06104,B001282,,,,,,H0KY06104
Andy,Barr,Foreign Affairs,,N00031233,H0KY06104,B001282,,,,,,H0KY06104
Andy,Barr,Select Comm on the Strategic Competition US & China,,N00031233,H0KY06104,B001282,,,,,,H0KY06104
John,Barrasso,Committee on Energy & Natural Resources,Subcommittee on Energy,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Energy & Natural Resources,Subcommittee on National Parks,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Energy & Natural Resources,"Subcommittee on Public Lands, Forests, & Mining",,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Finance,"Subcommittee on Energy, Natural Resources, & Infrastructure",,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Finance,Subcommittee on Health Care,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Finance,Subcommittee on Taxation & IRS Oversight,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Africa & Global Health Policy,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,Subcommittee on Europe & Regional Security Cooperation,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on Multilateral Intl Development, Multilateral Institutions, & Intl Economic, Energy, & Environmental Policy",,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Foreign Relations,"Subcommittee on State Department & USAID Mgmt, Intl Operations, & Bilateral Intl Development",,S6WY00068,B001261,,,,,,
Tom,Barrett,Transportation & Infrastructure,,N00049596,H2MI07123,B001321,,,,,,H2MI07123
Tom,Barrett,Veterans' Affairs,,N00049596,H2MI07123,B001321,,,,,,H2MI07123
Michael,Baumgartner,Education & Workforce,,,H4WA05234,B001322,,,,,,
Michael,Baumgartner,Foreign Affairs,,,H4WA05234,B001322,,,,,,
Michael,Baumgartner,Judiciary,,,H4WA05234,B001322,,,,,,
Aaron,Bean,Ways & Means,,N00051369,H2FL04211,B001314,,,,,,H2FL04211
Joyce,Beatty,Financial Services,,N00033904,H2OH03125,B001281,,,,,,H2OH03125
Nicholas,Begich,Natural Resources,,N00049408,H2AK01083,B001323,,,,,,H2AK01083
Nicholas,Begich,"Science, Space, & Technology",,N00049408,H2AK01083,B001323,,,,,,H2AK01083
Nicholas,Begich,Transportation & Infrastructure,,N00049408,H2AK01083,B001323,,,,,,H2AK01083
Wesley,Bell,Armed Services,,,H4MO01134,B001324,,,,,,
Wesley,Bell,Oversight & Govt Reform,,,H4MO01134,B001324,,,,,,
Michael,Bennet,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Conservation, Forestry, Ntrl Res, & Biotech",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,"Committee on Agriculture, Nutrition, & Forestry","Subcommittee on Rural Development, Energy, & Credit",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Finance,"Subcommittee on Energy, Natural Resources, & Infrastructure",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Finance,"Subcommittee on Intl Trade, Customs, & Global Competitiveness",N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Finance,Subcommittee on Taxation & IRS Oversight,N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Committee on Rules & Administration,,N00030608,S0CO00211,B001267,,,,,,S0CO00211
Michael,Bennet,Select Committee on Intelligence,,N00030608,S0CO00211,B001267,,,,,,S0CO00211
Cliff,Bentz,Energy & Commerce,,N00045773,H0OR02127,B000668,,,,,,H0OR02127
Cliff,Bentz,Natural Resources,,N00045773,H0OR02127,B000668,,,,,,H0OR02127
Ami,Bera,Foreign Affairs,,N00030717,H0CA03078,B001287,,,,,,H0CA03078
Ami,Bera,Intelligence,,N00030717,H0CA03078,B001287,,,,,,H0CA03078
Jack,Bergman,Armed Services,,N00039533,H6MI01226,B001301,,,,,,H6MI01226
Jack,Bergman,Budget,,N00039533,H6MI01226,B001301,,,,,,H6MI01226
Jack,Bergman,Veterans' Affairs,,N00039533,H6MI01226,B001301,,,,,,H6MI01226
Donald,Beyer,Ways & Means,,N00036018,H4VA08224,B001292,,,,,,H4VA08224
Stephanie,Bice,Appropriations,,N00044579,H0OK05205,B000740,,,,,,H0OK05205
Stephanie,Bice,House Admin,,N00044579,H0OK05205,B000740,,,,,,H0OK05205
Andy,Biggs,Judiciary,,N00039293,H6AZ05083,B001302,,,,,,H6AZ05083
Andy,Biggs,Oversight & Govt Reform,,N00039293,H6AZ05083,B001302,,,,,,H6AZ05083
Sheri,Biggs,Foreign Affairs,,,H4SC01313,B001325,,,,,,
Sheri,Biggs,Homeland Security,,,H4SC01313,B001325,,,,,,
Sheri,Biggs,"Science, Space, & Technology",,,H4SC01313,B001325,,,,,,
Gus,Bilirakis,Energy & Commerce,,N00027462,H6FL09070,B001257,,,,,,H6FL09070
Gus,Bilirakis,Select Comm on the Strategic Competition US & China,,N00027462,H6FL09070,B001257,,,,,,H6FL09070
Sanford,Bishop,Appropriations,,N00002674,H2GA02031,B000490,,,,,,H2GA02031
Marsha,Blackburn,"Committee on Commerce, Science, & Transportation","Subcommittee on Consumer Protection, Tech, & Data Privacy",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,"Committee on Commerce, Science, & Transportation","Subcommittee on Science, Manufacturing, & Competitiveness",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,"Committee on Commerce, Science, & Transportation",Subcommittee on Telecommunications & Media,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Finance,Subcommittee on Health Care,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Finance,"Subcommittee on Social Security, Pensions, & Family Policy",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Finance,Subcommittee on Taxation & IRS Oversight,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on The Judiciary,Subcommittee on Crime & Counterterrorism,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on The Judiciary,Subcommittee on Intellectual Property,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on The Judiciary,"Subcommittee on Privacy, Technology, & the Law",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on The Judiciary,Subcommittee on the Constitution,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Veterans' Affairs,,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Joint Economic Committee,,,S8TN00337,B001243,,,,,,
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Airland,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Personnel,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Seapower,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Homeland Security & Governmental Affairs,Permanent Subcommittee on Investigations,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Homeland Security & Governmental Affairs,"Subcommittee on Disaster Mgmt, District of Columbia, & Census",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on The Judiciary,"Subcommittee on Antitrust, Competition Policy, & Consumer Rights",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on The Judiciary,Subcommittee on Crime & Counterterrorism,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on The Judiciary,"Subcommittee on Fed Courts, Oversight, Agency Action, & Fed Rights",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on The Judiciary,"Subcommittee on Privacy, Technology, & the Law",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Veterans' Affairs,,N00031685,S0CT00177,B001277,,,,,,S0CT00177
