Amount,BioGuideID,Description,ExcessReturn,House,Party,PriceChange,Range,ReportDate,Representative,SPYChange,Ticker,TickerType,Transaction,TransactionDate,last_modified
1001.0,G000596,,-5.97177678893259,Representatives,R,-3.52927695657156,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,UPS,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,14.5584890078706,Representatives,R,17.0009888402317,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,GOOG,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,-7.30710726194328,Representatives,R,-4.86460742958224,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,PEP,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,-8.0296888721399,Representatives,R,-5.58718903977886,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,MRK,ST,Purchase,2025-08-28,2025-09-01
1001.0,G000596,,11.3534907726871,Representatives,R,13.7959906050481,"$1,001 - $15,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,UNH,ST,Purchase,2025-08-28,2025-09-01
15001.0,G000596,,-9.03301838082966,Representatives,R,-6.59051854846862,"$15,001 - $50,000",2025-08-29,Marjorie Taylor Greene,2.44249983236104,RHP,ST,Purchase,2025-08-28,2025-09-01
1001.0,C001123,,-9.35784030243266,Representatives,D,-6.55342591529897,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,2.80441438713369,DOX,ST,Sale,2025-08-27,2025-09-15
1001.0,H001094,"PURCHASE LESS THAN $1,000",0.0,Representatives,D,0.0,"$1,001 - $15,000",2025-09-12,Valerie Hoyle,0.0,WBA,ST,Sale,2025-08-27,2025-09-15
1001.0,C001123,,-10.0450491172645,Representatives,D,-7.00488454706927,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.04016457019527,INTA,ST,Purchase,2025-08-26,2025-09-15
1001.0,C001123,,-2.75156428159498,Representatives,D,0.28860028860029,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.04016457019527,FTV,ST,Sale,2025-08-26,2025-09-15
1001.0,C001123,,-5.41741857168105,Representatives,D,-2.37725400148577,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.04016457019527,WAT,ST,Purchase,2025-08-26,2025-09-15
1001.0,C001123,,-6.04871157874229,Representatives,D,-3.00854700854701,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.04016457019527,GDDY,ST,Sale,2025-08-26,2025-09-15
1001.0,C001123,,4.20608883579928,Representatives,D,7.24625340599455,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.04016457019527,SMTC,ST,Purchase,2025-08-26,2025-09-15
1001.0,C001123,,-8.95650383527501,Representatives,D,-5.91633926507974,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.04016457019527,DOX,ST,Sale,2025-08-26,2025-09-15
1001.0,C001123,,-8.51904947221018,Representatives,D,-5.4788849020149,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.04016457019527,APG,ST,Purchase,2025-08-26,2025-09-15
1001.0,F000483,,-5.85359423445367,Representatives,D,-2.8134296642584,"$1,001 - $15,000",2025-09-09,Laura Friedman,3.04016457019527,DIS,ST,Sale,2025-08-26,2025-09-10
15001.0,J000309,,9.65057283476209,Representatives,D,13.1024096385542,"$15,001 - $50,000",2025-09-23,Jonathan Jackson,3.45183680379211,DOCS,ST,Purchase,2025-08-25,2025-09-24
1001.0,K000398,,-1.43997784214534,Representatives,R,2.01185896164677,"$1,001 - $15,000",2025-09-18,Thomas H. Kean Jr,3.45183680379211,MSFT,ST,Sale,2025-08-25,2025-09-19
1001.0,K000398,,-9.28482902646915,Representatives,R,-5.83299222267704,"$1,001 - $15,000",2025-09-18,Thomas H. Kean Jr,3.45183680379211,SYK,ST,Sale,2025-08-25,2025-09-19
1001.0,M001232,,-6.55716622049374,Representatives,D,-3.10532941670163,"$1,001 - $15,000",2025-09-02,April Mcclain Delaney,3.45183680379211,BJ,ST,Purchase,2025-08-25,2025-09-03
1001.0,K000398,,-3.22130122641446,Representatives,R,-0.207191551931561,"$1,001 - $15,000",2025-09-18,Thomas H. Kean Jr,3.0141096744829,CP,ST,Purchase,2025-08-22,2025-09-19
1001.0,B001236,,36.6376578306157,Senate,R,39.6517675050986,"$1,001 - $15,000",2025-09-12,John Boozman,3.0141096744829,MU,Stock,Sale (Partial),2025-08-22,2025-09-12
1001.0,B001236,,2.30877731507076,Senate,R,5.32288698955366,"$1,001 - $15,000",2025-09-12,John Boozman,3.0141096744829,ABBV,Stock,Sale (Partial),2025-08-22,2025-09-12
1001.0,B001236,,-0.94376864408793,Senate,R,2.07034103039497,"$1,001 - $15,000",2025-09-12,John Boozman,3.0141096744829,NVDA,Stock,Purchase,2025-08-22,2025-09-12
1001.0,B001236,,-1.23522028599368,Senate,R,1.77888938848922,"$1,001 - $15,000",2025-09-12,John Boozman,3.0141096744829,LLY,Stock,Purchase,2025-08-22,2025-09-12
1001.0,G000583,,-3.97123527834764,Representatives,D,-0.957125603864739,"$1,001 - $15,000",2025-09-05,Josh Gottheimer,3.0141096744829,NTRA,ST,Purchase,2025-08-22,2025-09-08
15001.0,F000110,,-0.94376864408793,Representatives,D,2.07034103039497,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.0141096744829,NVDA,ST,Purchase,2025-08-22,2025-09-04
15001.0,F000110,,-0.94376864408793,Representatives,D,2.07034103039497,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.0141096744829,NVDA,ST,Purchase,2025-08-22,2025-09-04
1001.0,G000583,,-10.1982462411334,Representatives,D,-5.60790273556231,"$1,001 - $15,000",2025-09-05,Josh Gottheimer,4.59034350557106,SSMXY,ST,Sale,2025-08-21,2025-09-08
15001.0,M001232,,-8.21989377240496,Representatives,D,-3.62955026683389,"$15,001 - $50,000",2025-09-02,April Mcclain Delaney,4.59034350557106,MKL,ST,Purchase,2025-08-21,2025-09-03
1001.0,G000597,,-4.61392841123144,Representatives,R,-0.0235849056603727,"$1,001 - $15,000",2025-08-21,Andrew Garbarino,4.59034350557106,GAP,ST,Sale,2025-08-21,2025-08-22
15001.0,F000110,,-0.600921123169442,Representatives,D,3.5775370581528,"$15,001 - $50,000",2025-09-03,Cleo Fields,4.17845818132224,NVDA,ST,Purchase,2025-08-20,2025-09-04
1001.0,H001094,,-0.813581155328375,Representatives,D,3.09031764255645,"$1,001 - $15,000",2025-09-12,Valerie Hoyle,3.90389879788483,JCI,ST,Sale,2025-08-19,2025-09-15
1001.0,H001094,,3.33577733373745,Representatives,D,7.23967613162228,"$1,001 - $15,000",2025-09-12,Valerie Hoyle,3.90389879788483,NOW,ST,Sale,2025-08-19,2025-09-15
1001.0,M001136,,0.978268626188286,Representatives,R,4.88216742407311,"$1,001 - $15,000",2025-09-12,Lisa Mcclain,3.90389879788483,HCA,ST,Purchase,2025-08-19,2025-09-15
15001.0,A000372,,-2.47455195511298,Representatives,R,1.42934684277185,"$15,001 - $50,000",2025-09-12,Richard W. Allen,3.90389879788483,ATO,ST,Purchase,2025-08-19,2025-09-15
1001.0,A000372,,-7.7279569501437,Representatives,R,-3.82405815225887,"$1,001 - $15,000",2025-09-12,Richard W. Allen,3.90389879788483,ACN,ST,Sale,2025-08-19,2025-09-15
1001.0,H001094,,0.859005104758905,Representatives,D,4.76290390264373,"$1,001 - $15,000",2025-09-12,Valerie Hoyle,3.90389879788483,UBER,ST,Purchase,2025-08-19,2025-09-15
1001.0,H001094,,8.070104286495,Representatives,D,11.9740030843798,"$1,001 - $15,000",2025-09-12,Valerie Hoyle,3.90389879788483,PANW,ST,Sale,2025-08-19,2025-09-15
1001.0,M001136,,7.17413649873435,Representatives,R,11.0780352966192,"$1,001 - $15,000",2025-09-12,Lisa Mcclain,3.90389879788483,ACIW,ST,Purchase,2025-08-19,2025-09-15
1001.0,H001094,,-10.1159883189055,Representatives,D,-6.2120895210207,"$1,001 - $15,000",2025-09-12,Valerie Hoyle,3.90389879788483,CPRT,ST,Sale,2025-08-19,2025-09-15
1001.0,M001234,,-2.21660970902094,Representatives,D,1.68728908886389,"$1,001 - $15,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,JNJ,ST,Sale,2025-08-19,2025-09-12
15001.0,M001234,,-11.621292283606,Representatives,D,-7.71739348572117,"$15,001 - $50,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,TMO,ST,Sale,2025-08-19,2025-09-12
15001.0,M001234,,-7.7279569501437,Representatives,D,-3.82405815225887,"$15,001 - $50,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,ACN,ST,Sale,2025-08-19,2025-09-12
1001.0,M001234,,-11.621292283606,Representatives,D,-7.71739348572117,"$1,001 - $15,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,TMO,ST,Sale,2025-08-19,2025-09-12
1001.0,M001234,,-11.621292283606,Representatives,D,-7.71739348572117,"$1,001 - $15,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,TMO,ST,Sale,2025-08-19,2025-09-12
15001.0,M001234,,-11.621292283606,Representatives,D,-7.71739348572117,"$15,001 - $50,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,TMO,ST,Sale,2025-08-19,2025-09-12
1001.0,M001234,,-7.61996466348339,Representatives,D,-3.71606586559856,"$1,001 - $15,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,VZ,ST,Sale,2025-08-19,2025-09-12
1001.0,M001234,,-7.7279569501437,Representatives,D,-3.82405815225887,"$1,001 - $15,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,ACN,ST,Sale,2025-08-19,2025-09-12
1001.0,M001234,,-7.7279569501437,Representatives,D,-3.82405815225887,"$1,001 - $15,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,ACN,ST,Sale,2025-08-19,2025-09-12
15001.0,M001234,,-7.7279569501437,Representatives,D,-3.82405815225887,"$15,001 - $50,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,ACN,ST,Sale,2025-08-19,2025-09-12
1001.0,M001234,,-7.7279569501437,Representatives,D,-3.82405815225887,"$1,001 - $15,000",2025-09-11,Kelly Louise Morrison,3.90389879788483,ACN,ST,Sale,2025-08-19,2025-09-12
1001.0,F000450,,-5.49575683546311,Representatives,R,-1.59185803757829,"$1,001 - $15,000",2025-09-08,Virginia Foxx,3.90389879788483,HTGC,ST,Purchase,2025-08-19,2025-09-10
15001.0,M001232,,1.30459364140034,Representatives,D,5.20849243928516,"$15,001 - $50,000",2025-09-02,April Mcclain Delaney,3.90389879788483,DAY,ST,Sale,2025-08-19,2025-09-03
100001.0,C001080,STOCK IS SOLELY OWNED BY SPOUSE.,-3.95438684904605,Representatives,D,-0.0504880511612271,"$100,001 - $250,000",2025-08-30,Judy Chu,3.90389879788483,ASTH,ST,Purchase,2025-08-19,2025-09-01
100001.0,C001080,STOCK IS SOLELY OWNED BY SPOUSE.,-3.95438684904605,Representatives,D,-0.0504880511612271,"$100,001 - $250,000",2025-08-30,Judy Chu,3.90389879788483,ASTH,ST,Sale,2025-08-19,2025-09-01
15001.0,G000596,,-2.7994811272021,Representatives,R,1.10441767068273,"$15,001 - $50,000",2025-08-20,Marjorie Taylor Greene,3.90389879788483,NVO,ST,Purchase,2025-08-19,2025-08-21
1001.0,N000189,,4.1598747095608,Representatives,R,7.49625187406297,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,XOM,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-4.26052831455695,Representatives,R,-0.92415115005478,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,OKE,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,2.3260022567197,Representatives,R,5.66237942122187,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,RTX,ST,Sale,2025-08-18,2025-09-18
1001.0,N000189,,-6.0181480580405,Representatives,R,-2.68177089353833,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,UPS,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-2.12057169337754,Representatives,R,1.21580547112462,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,GIS,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-19.9919274265317,Representatives,R,-16.6555502620295,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,TGT,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-0.98176102169197,Representatives,R,2.3546161428102,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,AME,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,23.9797116265453,Representatives,R,27.3160887910475,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,AMAT,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-14.1299041324454,Representatives,R,-10.7935269679433,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,SPGI,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,0.0971433065371223,Representatives,R,3.43352047103929,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,ROST,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-1.93212184535324,Representatives,R,1.40425531914893,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,COP,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-11.5514333697934,Representatives,R,-8.21505620529125,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,AMD,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-6.76442937002009,Representatives,R,-3.42805220551792,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,ADP,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,4.96218125734912,Representatives,R,8.29855842185129,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,PLD,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,-4.71078474744056,Representatives,R,-1.3744075829384,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,BRO,ST,Purchase,2025-08-18,2025-09-18
1001.0,N000189,,0.42202863770183,Representatives,R,3.758405802204,"$1,001 - $15,000",2025-09-17,Dan Newhouse,3.33637716450217,BLK,ST,Sale,2025-08-18,2025-09-18
1001.0,M001136,,,Representatives,R,,"$1,001 - $15,000",2025-09-12,Lisa Mcclain,,AMED,ST,Sale,2025-08-18,2025-09-15
100001.0,M001236,,16.6543092790991,Representatives,R,19.9906864436012,"$100,001 - $250,000",2025-09-03,Tim Moore,3.33637716450217,CNC,ST,Sale,2025-08-18,2025-09-04
15001.0,A000148,RSU DISTRIBUTION,0.589335579449635,Representatives,D,3.9257127439518,"$15,001 - $50,000",2025-08-27,Jake Auchincloss,3.33637716450217,STT,ST,Sale,2025-08-18,2025-08-28
1001.0,K000398,,-10.917105260177,Representatives,R,-7.61741122565866,"$1,001 - $15,000",2025-09-18,Thomas H. Kean Jr,3.29969403451831,AMCR,ST,Purchase,2025-08-15,2025-09-19
1001.0,C001123,,-3.8576237591147,Representatives,D,-0.55792972459639,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.29969403451831,INTA,ST,Purchase,2025-08-15,2025-09-15
1001.0,C001123,,3.32179246698151,Representatives,D,6.62148650149983,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.29969403451831,CVLT,ST,Purchase,2025-08-15,2025-09-15
1001.0,C001123,,21.461518967116,Representatives,D,24.7612130016343,"$1,001 - $15,000",2025-09-12,Gilbert Cisneros,3.29969403451831,STRL,ST,Sale,2025-08-15,2025-09-15
15001.0,F000110,,6.41173770799001,Representatives,D,9.71143174250832,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.29969403451831,AVGO,ST,Purchase,2025-08-15,2025-09-04
15001.0,F000110,,6.41173770799001,Representatives,D,9.71143174250832,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.29969403451831,AVGO,ST,Purchase,2025-08-15,2025-09-04
50001.0,M001236,,9.85247201265119,Representatives,R,13.1521660471695,"$50,001 - $100,000",2025-09-03,Tim Moore,3.29969403451831,UNH,ST,Sale,2025-08-15,2025-09-04
15001.0,F000110,,12.009247693546,Representatives,D,15.3089417280643,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.29969403451831,TSM,ST,Purchase,2025-08-15,2025-09-04
15001.0,F000110,,-2.62083562498657,Representatives,D,0.678858409531739,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.29969403451831,NVDA,ST,Purchase,2025-08-15,2025-09-04
15001.0,F000110,,12.009247693546,Representatives,D,15.3089417280643,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.29969403451831,TSM,ST,Purchase,2025-08-15,2025-09-04
50001.0,F000110,,-7.50261140455684,Representatives,D,-4.20291737003853,"$50,001 - $100,000",2025-09-03,Cleo Fields,3.29969403451831,AMZN,ST,Purchase,2025-08-15,2025-09-04
100001.0,F000110,,-2.62083562498657,Representatives,D,0.678858409531739,"$100,001 - $250,000",2025-09-03,Cleo Fields,3.29969403451831,NVDA,ST,Purchase,2025-08-15,2025-09-04
15001.0,F000110,,-12.2231349674235,Representatives,D,-8.92344093290519,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.29969403451831,AMD,ST,Purchase,2025-08-15,2025-09-04
15001.0,F000110,,-7.50261140455684,Representatives,D,-4.20291737003853,"$15,001 - $50,000",2025-09-03,Cleo Fields,3.29969403451831,AMZN,ST,Purchase,2025-08-15,2025-09-04
1001.0,W000797,,18.7215825612264,Representatives,D,22.0212765957447,"$1,001 - $15,000",2025-08-18,Debbie Wasserman Schultz,3.29969403451831,SSYS,ST,Purchase,2025-08-15,2025-08-19
15001.0,B001236,,,Senate,R,,"$15,001 - $50,000",2025-09-12,John Boozman,,EMRZX,Stock,Sale (Full),2025-08-14,2025-09-12
15001.0,B001236,,,Senate,R,,"$15,001 - $50,000",2025-09-12,John Boozman,,RNWGX,Stock,Purchase,2025-08-14,2025-09-12
1001.0,J000310,,-3.42167141534724,Representatives,D,-0.34500784108731,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,COP,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,6.52411001325216,Representatives,D,9.60077358751209,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,XEL,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-7.90862888322695,Representatives,D,-4.83196530896702,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,TXN,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-8.99107617014204,Representatives,D,-5.91441259588211,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,PEP,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,4.11819723944456,Representatives,D,7.1948608137045,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,GS,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,7.12383686443632,Representatives,D,10.2005004386963,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,AXP,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-4.65292859064143,Representatives,D,-1.5762650163815,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,CME,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-7.86838241556556,Representatives,D,-4.79171884130563,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,EOG,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,6.76966249942213,Representatives,D,9.84632607368206,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,PKG,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,2.76758421335068,Representatives,D,5.84424778761062,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,NSC,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-2.30922857815079,Representatives,D,0.767434996109147,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,PH,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,4.71742436594613,Representatives,D,7.79408794020606,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,MS,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-5.76518391631746,Representatives,D,-2.68852034205753,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,NXPI,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-8.150491510461,Representatives,D,-5.07382793620106,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,MRK,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,3.34487849869059,Representatives,D,6.42154207295052,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,UNP,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,23.6292556124504,Representatives,D,26.7059191867104,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,UNH,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,2.38052075084892,Representatives,D,5.45718432510885,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,BK,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-3.5840136458093,Representatives,D,-0.50735007154937,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,PG,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,0.99175012541408,Representatives,D,4.06841369967401,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,ADI,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,6.271481468708,Representatives,D,9.34814504296793,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,BAC,ST,Sale,2025-08-14,2025-09-12
1001.0,J000310,,-3.95704113824614,Representatives,D,-0.880377563986212,"$1,001 - $15,000",2025-09-11,Julie Johnson,3.07666357425993,PM,ST,Sale,2025-08-14,2025-09-12
