bioguide_id,cid,first_name,last_name,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
M001231,N00053112,John,Mannion,https://www.opensecrets.org/members-of-congress/summary?cid=N00053112,"Swing Left ($47,676); JStreetPAC ($46,950); Syracuse University ($43,358); AmeriPAC: The Fund for a Greater America ($24,325); Google Inc ($22,614)","Retired ($454,090); Democratic/Liberal ($258,738); Education ($223,943); Leadership PACs ($174,425); Lawyers/Law Firms ($173,372)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M000133,N00000270,Edward,Markey,https://www.opensecrets.org/members-of-congress/summary?cid=N00000270,"Wilmerhale Llp ($133,397); Harvard University ($82,444); Google Inc ($78,008); Apollo Global Management ($59,386); Commonwealth of Massachusetts ($53,998)","Retired ($1,420,834); Lawyers/Law Firms ($1,115,973); Education ($756,395); Securities & Investment ($742,151); Real Estate ($562,109)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
M001198,N00037034,Roger,Marshall,https://www.opensecrets.org/members-of-congress/marshall-roger/summary?cid=N00037034&cycle=2024,"Nueterra Capital ($49,400); National Republican Senatorial Cmte ($44,600); McKee Foods ($42,100); Nelson Farms (Kansas) ($26,700); Venture Corp (Kansas) ($26,400)","Health Professionals ($667,476); Leadership PACs ($595,807); Retired ($587,637); Securities & Investment ($453,311); Oil & Gas ($302,373)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
M001184,N00034041,Thomas,Massie,https://www.opensecrets.org/members-of-congress/thomas-massie/summary?cid=N00034041,"Morning Star Co ($13,200); Susquehanna International Group ($13,200); TA Assoc ($13,200); Masimo Corp ($10,600); National Auto Dealers Assn ($10,000)","Retired ($197,578); Republican/Conservative ($73,030); Securities & Investment ($63,469); Real Estate ($53,328); Lawyers/Law Firms ($40,432)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001199,N00037269,Brian,Mast,https://www.opensecrets.org/members-of-congress/mast-brian/summary?cid=N00037269&cycle=2024,"American Israel Public Affairs Cmte ($197,661); NextGen Management ($26,400); Investments Ltd ($13,200); Trident Capital ($13,200); Carlyle Group ($11,500)","Retired ($818,970); Republican/Conservative ($464,012); Human Rights ($274,509); Pro-Israel ($259,069); Real Estate ($105,380)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001163,N00027459,Doris,Matsui,https://www.opensecrets.org/members-of-congress/matsui-doris/summary?cid=N00027459&cycle=2024,"DISH Network ($18,100); University of California/Davis ($16,025); Granite Telecommunications ($13,200); Charter Communications ($11,500); American Israel Public Affairs Cmte ($11,322)","Health Professionals ($127,137); Telecom Services ($96,650); Lawyers/Law Firms ($76,072); Pharmaceuticals/Health Products ($74,800); Electric Utilities ($65,299)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001208,N00042813,Lucy,McBath,https://www.opensecrets.org/members-of-congress/lucy-mcbath/summary?cid=N00042813,"Delta Air Lines ($19,607); ARK Community Church (Massachusetts) ($13,200); Bain Capital ($13,200); Perennial Properties (Georgia) ($13,200); Radco Companies ($13,200)","Retired ($365,699); Real Estate ($160,263); Securities & Investment ($148,906); Lawyers/Law Firms ($141,171); Health Professionals ($100,527)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001238,N00052698,Sarah,McBride,https://www.opensecrets.org/members-of-congress/sarah-mcbride/summary?cid=N00052698&cycle=2024,"Young, Conaway et al ($66,694); University of Delaware ($36,068); Microsoft Corp ($33,342); American Israel Public Affairs Cmte ($32,260); Google Inc ($28,027)","Retired ($542,172); Lawyers/Law Firms ($400,764); Health Professionals ($169,159); Education ($148,993); Real Estate ($135,406)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001157,N00026460,Michael,McCaul,https://www.opensecrets.org/members-of-congress/mccaul-michael/summary?cid=N00026460&cycle=2024,"American Israel Public Affairs Cmte ($418,859); Lockheed Martin ($19,060); Axxess Technology Solutions ($16,600); BGR Group ($16,500); Red Arts Capital ($14,200)","Pro-Israel ($488,315); Retired ($385,341); Securities & Investment ($202,468); Real Estate ($157,091); Lawyers/Law Firms ($86,422)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
M001136,N00045730,Lisa,McClain,https://www.opensecrets.org/members-of-congress/mcclain-lisa/summary?cid=N00045730&cycle=2024,"Poet LLC ($23,200); RDV Corp ($19,800); Kratos Defense & Security Solutions ($18,000); American Israel Public Affairs Cmte ($16,050); Valor PAC ($13,000)","Retired ($117,696); Leadership PACs ($107,000); Securities & Investment ($88,998); Real Estate ($86,166); Automotive ($56,281)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
