BioGuideID,first_name,last_name,representative,house,party,transaction,ticker,ticker_type,description,range,amount,excess_return,price_change,spy_change,report_date,transaction_date,last_modified
M001236,Tim,Moore,Tim Moore,Representatives,R,Sale,LGIH,ST,,50001.0,50001.0,-2.4990851835228,-1.46514497223937,1.03394021128343,2025-12-02,2025-11-05,2025-12-03
M001236,Tim,Moore,Tim Moore,Representatives,R,Purchase,HY,ST,,15001.0,15001.0,-1.85553645541488,-0.821596244131459,1.03394021128343,2025-12-02,2025-11-05,2025-12-03
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,BRK.B,ST,,1001.0,1001.0,0.492275152594,1.3022485013401,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,ABT,ST,,1001.0,1001.0,-2.82539008232568,-2.01541673357958,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,COST,ST,,1001.0,1001.0,-6.30070626640649,-5.49073291766039,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,MCD,ST,,1001.0,1001.0,0.33505233254418,1.14502568129028,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,MDT,ST,,1001.0,1001.0,10.3183452353247,11.1283185840708,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,MSFT,ST,,1001.0,1001.0,-6.13373705250823,-5.32376370376213,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,EMR,ST,,1001.0,1001.0,1.53053250251855,2.34050585126465,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
M001218,Richard Dean Dr,Mccormick,Richard Dean Dr Mccormick,Representatives,R,Purchase,ICE,ST,,1001.0,1001.0,7.41107856288784,8.22105191163394,0.8099733487461,2025-12-09,2025-11-05,2025-12-10
