bioguide_id,first_name,last_name,party,state,chamber,committee_assignments
C001127,Sheila,Cherfilus-McCormick,Democrat,FL,House,Foreign Affairs | Veterans' Affairs
C001080,Judy,Chu,Democrat,CA,House,Budget | Ways and Means
C001133,Juan,Ciscomani,Republican,AZ,House,Appropriations | Veterans' Affairs
C001123,Gilbert,Cisneros,Democrat,CA,House,Armed Services | Small Business
C001101,Katherine,Clark,Democrat,MA,House,
C001067,Yvette,Clarke,Democrat,NY,House,Energy and Commerce
C001061,Emanuel,Cleaver,Democrat,MO,House,Financial Services
C001118,Ben,Cline,Republican,VA,House,Appropriations | Budget | Intelligence | Judiciary
C001115,Michael,Cloud,Republican,TX,House,Appropriations | Oversight and Government Reform
C000537,James,Clyburn,Democrat,SC,House,Appropriations
C001116,Andrew,Clyde,Republican,GA,House,Appropriations | Budget
C001068,Steve,Cohen,Democrat,TN,House,Intelligence | Judiciary
C001053,Tom,Cole,Republican,OK,House,Appropriations
C001129,Mike,Collins,Republican,GA,House,"Natural Resources | Transportation and Infrastructure | Science, Space, and Technology"
C001035,Susan,Collins,Republican,ME,Senate,"Committee on Appropriations: Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies; Subcommittee on Commerce, Justice, Science, and Related Agencies; Subcommittee on Department of Defense; Subcommittee on Department of Homeland Security; Subcommittee on Department of Interior, Environment, and Related Agencies; Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies; Subcommittee on Energy and Water Development; Subcommittee on Financial Services and General Government; Subcommittee on Legislative Branch; Subcommittee on Military Construction, Veterans Affairs, and Related Agencies; Subcommittee on State, Foreign Operations, and Related Programs; Subcommittee on Transportation, Housing and Urban Development, and Related Agencies | Committee on Health, Education, Labor, and Pensions: Subcommittee on Primary Health and Retirement Security | Select Committee on Intelligence"
C001108,James,Comer,Republican,KY,House,Education and Workforce | Oversight and Government Reform
C001136,Herbert,Conaway,Democrat,NJ,House,Small Business | Veterans' Affairs
C001078,Gerald,Connolly,Democrat,VA,House,
C001088,Christopher,Coons,Democrat,DE,Senate,"Committee on Appropriations: Subcommittee on Commerce, Justice, Science, and Related Agencies; Subcommittee on Department of Defense (Ranking); Subcommittee on Energy and Water Development; Subcommittee on Financial Services and General Government; Subcommittee on State, Foreign Operations, and Related Programs; Subcommittee on Transportation, Housing and Urban Development, and Related Agencies | Committee on Foreign Relations: Subcommittee on Africa and Global Health Policy; Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy (Ranking); Subcommittee on Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy; Subcommittee on State Department and USAID Management, International Operations, and Bilateral International Development | Committee on Small Business and Entrepreneurship | Committee on the Judiciary: Subcommittee on Border Security and Immigration; Subcommittee on Crime and Counterterrorism; Subcommittee on Intellectual Property; Subcommittee on Privacy, Technology, and the Law | Select Committee on Ethics"
C001056,John,Cornyn,Republican,TX,Senate,"Committee on Finance: Subcommittee on Energy, Natural Resources, and Infrastructure; Subcommittee on International Trade, Customs, and Global Competitiveness (Chairman); Subcommittee on Taxation and IRS Oversight | Committee on Foreign Relations: Subcommittee on Africa and Global Health Policy; Subcommittee on East Asia, the Pacific, and International Cybersecurity Policy; Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues | Committee on the Budget | Committee on the Judiciary: Subcommittee on Border Security and Immigration (Chairman); Subcommittee on Crime and Counterterrorism; Subcommittee on Privacy, Technology, and the Law; Subcommittee on the Constitution | Joint Committee on Taxation | Select Committee on Intelligence | United States Senate Caucus on International Narcotics Control"
C001110,J. Luis,Correa,Democrat,CA,House,Homeland Security | Judiciary
C001113,Catherine,Cortez Masto,Democrat,NV,Senate,"Committee on Banking, Housing, and Urban Affairs: Subcommittee on Financial Institutions and Consumer Protection (Ranking); Subcommittee on National Security and International Trade and Finance; Subcommittee on Securities, Insurance, and Investment | Committee on Energy and Natural Resources: Subcommittee on Energy; Subcommittee on Public Lands, Forests, and Mining (Ranking); Subcommittee on Water and Power | Committee on Finance: Subcommittee on Health Care; Subcommittee on International Trade, Customs, and Global Competitiveness; Subcommittee on Social Security, Pensions, and Family Policy | Committee on Indian Affairs"
