first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL
"Collins, Susan M. - Senator",,,,,,,Maine,,,Republican,Senate: 1997-Present,https://www.congress.gov/member/susan-collins/C001035
"Comer, James - Representative",,,,,,,Kentucky,,1,Republican,House: 2016-Present,https://www.congress.gov/member/james-comer/C001108
"Conaway, Herbert C. - Representative",,,,,,,New Jersey,,3,Democratic,House: 2025-Present,https://www.congress.gov/member/herbert-conaway/C001136
"Connolly, Gerald E. - Representative",,,,,,,Virginia,,11,Democratic,House: 2009-2025,https://www.congress.gov/member/gerald-connolly/C001078
"Coons, Christopher A. - Senator",,,,,,,Delaware,,,Democratic,Senate: 2010-Present,https://www.congress.gov/member/christopher-coons/C001088
"Cornyn, John - Senator",,,,,,,Texas,,,Republican,Senate: 2002-Present,https://www.congress.gov/member/john-cornyn/C001056
"Correa, J. Luis - Representative",,,,,,,California,,46,Democratic,House: 2017-Present,https://www.congress.gov/member/j-correa/C001110
"Cortez Masto, Catherine - Senator",,,,,,,Nevada,,,Democratic,Senate: 2017-Present,https://www.congress.gov/member/catherine-cortez-masto/C001113
"Costa, Jim - Representative",,,,,,,California,,21,Democratic,House: 2005-Present,https://www.congress.gov/member/jim-costa/C001059
"Cotton, Tom - Senator",,,,,,,Arkansas,,,Republican,Senate: 2015-Present | House: 2013-2015,https://www.congress.gov/member/tom-cotton/C001095
"Courtney, Joe - Representative",,,,,,,Connecticut,,2,Democratic,House: 2007-Present,https://www.congress.gov/member/joe-courtney/C001069
"Craig, Angie - Representative",,,,,,,Minnesota,,2,Democratic,House: 2019-Present,https://www.congress.gov/member/angie-craig/C001119
"Cramer, Kevin - Senator",,,,,,,North Dakota,,,Republican,Senate: 2019-Present | House: 2013-2019,https://www.congress.gov/member/kevin-cramer/C001096
"Crane, Elijah - Representative",,,,,,,Arizona,,2,Republican,House: 2023-Present,https://www.congress.gov/member/elijah-crane/C001132
"Crank, Jeff - Representative",,,,,,,Colorado,,5,Republican,House: 2025-Present,https://www.congress.gov/member/jeff-crank/C001137
"Crapo, Mike - Senator",,,,,,,Idaho,,,Republican,Senate: 1999-Present | House: 1993-1999,https://www.congress.gov/member/mike-crapo/C000880
"Crawford, Eric A. ""Rick"" - Representative",,,,,,,Arkansas,,1,Republican,House: 2011-Present,https://www.congress.gov/member/eric-crawford/C001087
"Crenshaw, Dan - Representative",,,,,,,Texas,,2,Republican,House: 2019-Present,https://www.congress.gov/member/dan-crenshaw/C001120
"Crockett, Jasmine - Representative",,,,,,,Texas,,30,Democratic,House: 2023-Present,https://www.congress.gov/member/jasmine-crockett/C001130
"Crow, Jason - Representative",,,,,,,Colorado,,6,Democratic,House: 2019-Present,https://www.congress.gov/member/jason-crow/C001121
"Cruz, Ted - Senator",,,,,,,Texas,,,Republican,Senate: 2013-Present,https://www.congress.gov/member/ted-cruz/C001098
"Cuellar, Henry - Representative",,,,,,,Texas,,28,Democratic,House: 2005-Present,https://www.congress.gov/member/henry-cuellar/C001063
"Curtis, John R. - Senator",,,,,,,Utah,,,Republican,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/john-curtis/C001114
"Daines, Steve - Senator",,,,,,,Montana,,,Republican,Senate: 2015-Present | House: 2013-2015,https://www.congress.gov/member/steve-daines/D000618
"Davids, Sharice - Representative",,,,,,,Kansas,,3,Democratic,House: 2019-Present,https://www.congress.gov/member/sharice-davids/D000629
"Davidson, Warren - Representative",,,,,,,Ohio,,8,Republican,House: 2016-Present,https://www.congress.gov/member/warren-davidson/D000626
"Davis, Danny K. - Representative",,,,,,,Illinois,,7,Democratic,House: 1997-Present,https://www.congress.gov/member/danny-davis/D000096
"Davis, Donald G. - Representative",,,,,,,North Carolina,,1,Democratic,House: 2023-Present,https://www.congress.gov/member/donald-davis/D000230
"De La Cruz, Monica - Representative",,,,,,,Texas,,15,Republican,House: 2023-Present,https://www.congress.gov/member/monica-de-la-cruz/D000594
"Dean, Madeleine - Representative",,,,,,,Pennsylvania,,4,Democratic,House: 2019-Present,https://www.congress.gov/member/madeleine-dean/D000631
"DeGette, Diana - Representative",,,,,,,Colorado,,1,Democratic,House: 1997-Present,https://www.congress.gov/member/diana-degette/D000197
"DeLauro, Rosa L. - Representative",,,,,,,Connecticut,,3,Democratic,House: 1991-Present,https://www.congress.gov/member/rosa-delauro/D000216
"DelBene, Suzan K. - Representative",,,,,,,Washington,,1,Democratic,House: 2012-Present,https://www.congress.gov/member/suzan-delbene/D000617
"Deluzio, Christopher R. - Representative",,,,,,,Pennsylvania,,17,Democratic,House: 2023-Present,https://www.congress.gov/member/christopher-deluzio/D000530
"DeSaulnier, Mark - Representative",,,,,,,California,,10,Democratic,House: 2015-Present,https://www.congress.gov/member/mark-desaulnier/D000623
"DesJarlais, Scott - Representative",,,,,,,Tennessee,,4,Republican,House: 2011-Present,https://www.congress.gov/member/scott-desjarlais/D000616
"Dexter, Maxine - Representative",,,,,,,Oregon,,3,Democratic,House: 2025-Present,https://www.congress.gov/member/maxine-dexter/D000635
"Diaz-Balart, Mario - Representative",,,,,,,Florida,,26,Republican,House: 2003-Present,https://www.congress.gov/member/mario-diaz-balart/D000600
"Dingell, Debbie - Representative",,,,,,,Michigan,,6,Democratic,House: 2015-Present,https://www.congress.gov/member/debbie-dingell/D000624
"Doggett, Lloyd - Representative",,,,,,,Texas,,37,Democratic,House: 1995-Present,https://www.congress.gov/member/lloyd-doggett/D000399
"Donalds, Byron - Representative",,,,,,,Florida,,19,Republican,House: 2021-Present,https://www.congress.gov/member/byron-donalds/D000032
"Downing, Troy - Representative",,,,,,,Montana,,2,Republican,House: 2025-Present,https://www.congress.gov/member/troy-downing/D000634
"Duckworth, Tammy - Senator",,,,,,,Illinois,,,Democratic,Senate: 2017-Present | House: 2013-2017,https://www.congress.gov/member/tammy-duckworth/D000622
"Dunn, Neal P. - Representative",,,,,,,Florida,,2,Republican,House: 2017-Present,https://www.congress.gov/member/neal-dunn/D000628
"Durbin, Richard J. - Senator",,,,,,,Illinois,,,Democratic,Senate: 1997-Present | House: 1983-1997,https://www.congress.gov/member/richard-durbin/D000563
"Edwards, Chuck - Representative",,,,,,,North Carolina,,11,Republican,House: 2023-Present,https://www.congress.gov/member/chuck-edwards/E000246
"Elfreth, Sarah - Representative",,,,,,,Maryland,,3,Democratic,House: 2025-Present,https://www.congress.gov/member/sarah-elfreth/E000301
"Ellzey, Jake - Representative",,,,,,,Texas,,6,Republican,House: 2021-Present,https://www.congress.gov/member/jake-ellzey/E000071
"Emmer, Tom - Representative",,,,,,,Minnesota,,6,Republican,House: 2015-Present,https://www.congress.gov/member/tom-emmer/E000294
"Ernst, Joni - Senator",,,,,,,Iowa,,,Republican,Senate: 2015-Present,https://www.congress.gov/member/joni-ernst/E000295
"Escobar, Veronica - Representative",,,,,,,Texas,,16,Democratic,House: 2019-Present,https://www.congress.gov/member/veronica-escobar/E000299
"Espaillat, Adriano - Representative",,,,,,,New York,,13,Democratic,House: 2017-Present,https://www.congress.gov/member/adriano-espaillat/E000297
"Estes, Ron - Representative",,,,,,,Kansas,,4,Republican,House: 2017-Present,https://www.congress.gov/member/ron-estes/E000298
"Evans, Dwight - Representative",,,,,,,Pennsylvania,,3,Democratic,House: 2016-Present,https://www.congress.gov/member/dwight-evans/E000296
"Evans, Gabe - Representative",,,,,,,Colorado,,8,Republican,House: 2025-Present,https://www.congress.gov/member/gabe-evans/E000300
"Ezell, Mike - Representative",,,,,,,Mississippi,,4,Republican,House: 2023-Present,https://www.congress.gov/member/mike-ezell/E000235
"Fallon, Pat - Representative",,,,,,,Texas,,4,Republican,House: 2021-Present,https://www.congress.gov/member/pat-fallon/F000246
"Fedorchak, Julie - Representative",,,,,,,North Dakota,,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/julie-fedorchak/F000482
