first_name,middle_name,nick_name,last_name,suffix,chamber,office,role,state,state_abbr,party,fecid,green_id,green_id2,website,campaign_website,date_reelection
Robin,L.,,Kelly,,S,Senate Class 2,Member of Congress,Illinois,IL,Democratic,S6IL00474,G53537,G242,https://robinkelly.house.gov/,https://www.robinforsenate.com/,11/3/26
John,Neely,,Kennedy,,S,Senate Class 3,Senator,Louisiana,LA,Republican,,G26980,,https://kennedy.senate.gov/,http://www.johnkennedy.com/,11/7/28
Michael,S.,Mike,Kennedy,,H,House CD 3,Member of Congress,Utah,UT,Republican,H4UT03260,G49844,G53760,https://mikekennedy.house.gov/,https://www.kennedyforutah.org/,11/3/26
Timothy,M.,Tim,Kennedy,,H,House CD 26,Member of Congress,New York,NY,Democratic,H4NY26078,G561,G53663,https://kennedy.house.gov/,https://www.kennedyforuscongress.com/,11/3/26
Rohit,,Ro,Khanna,,H,House CD 17,Member of Congress,California,CA,Democratic,H4CA12055,G22221,G53460,https://khanna.house.gov/,http://www.rokhanna.com/,11/3/26
Jennifer,A.,Jen,Kiggans,,H,House CD 2,Member of Congress,Virginia,VA,Republican,H2VA02064,G40607,G53763,https://kiggans.house.gov/,https://www.jenforcongress.com/,11/3/26
Kevin,,,Kiley,,H,House CD 3,Member of Congress,California,CA,Republican,H2CA03157,G43636,G53447,https://kiley.house.gov/,https://electkevinkiley.com/,11/3/26
Andrew,,Andy,Kim,,S,Senate Class 1,Senator,New Jersey,NJ,Democratic,,G47626,,https://kim.senate.gov/,https://www.andykim.com/,11/5/30
Young,,,Kim,,H,House CD 40,Member of Congress,California,CA,Republican,H8CA39240,G34639,G53477,https://youngkim.house.gov/,https://www.youngkimforcongress.com/,11/3/26
Angus,Stanley,,King,Jr.,S,Senate Class 1,Senator,Maine,ME,Independent,,G14546,,https://king.senate.gov/,http://www.angusformaine.com/,11/5/30
Kimberlyn,Kay,,King-Hinds,,O,Delegate to the House of Representatives,Territorial Delegate,Northern Marianas,MP,Republican,H4MP01022,G50525,G53347,https://king-hinds.house.gov/,https://www.kinghinds.com/,11/3/26
Amy,J.,,Klobuchar,,S,Senate Class 1,Senator,Minnesota,MN,Democratic,,G392,,http://klobuchar.senate.gov/,http://www.amyklobuchar.com/,11/5/30
John,Bradford,Brad,Knott,,H,House CD 13,Member of Congress,North Carolina,NC,Republican,H4NC13116,G49183,G53616,https://knott.house.gov/,https://www.bradknottforcongress.com/,11/3/26
S.,Raja,,Krishnamoorthi,,S,Senate Class 2,Member of Congress,Illinois,IL,Democratic,S6IL00482,G53543,G22433,https://krishnamoorthi.house.gov/,http://www.rajaforcongress.com/,11/3/26
David,,,Kustoff,,H,House CD 8,Member of Congress,Tennessee,TN,Republican,H2TN07103,G23998,G53716,https://kustoff.house.gov/,http://www.kustoffforcongress.com/,11/3/26
Darin,McKay,,LaHood,,H,House CD 16,Member of Congress,Illinois,IL,Republican,H6IL18088,G2002,G53549,https://lahood.house.gov/,https://lahoodforcongress.com/,11/3/26
Nicholas,J.,Nick,LaLota,,H,House CD 1,Member of Congress,New York,NY,Republican,H2NY01190,G44392,G53639,https://lalota.house.gov/,https://www.nicklalota.com/,11/3/26
Doug,,,LaMalfa,,H,House CD 1,Member of Congress,California,CA,Republican,H2CA02142,G13888,G53445,https://lamalfa.house.gov/,http://www.douglamalfa.com/,11/3/26
Greg,,,Landsman,,H,House CD 1,Member of Congress,Ohio,OH,Democratic,H2OH01194,G43604,G53664,https://landsman.house.gov/,https://www.landsmanforcongress.com/,11/3/26
Nicholas,A.,Nick,Langworthy,,H,House CD 23,Member of Congress,New York,NY,Republican,H2NY23228,G46101,G53399,https://langworthy.house.gov/,https://www.nicklangworthy.com/,11/3/26
James,Paul,,Lankford,,S,Senate Class 3,Senator,Oklahoma,OK,Republican,,G606,,https://lankford.senate.gov/,http://www.jameslankford.com/,11/7/28
Richard,Ray,Rick,Larsen,,H,House CD 2,Member of Congress,Washington,WA,Democratic,H0WA02080,G782,G53774,https://larsen.house.gov/,http://www.ricklarsen.org/,11/3/26
John,B.,,Larson,,H,House CD 1,Member of Congress,Connecticut,CT,Democratic,H8CT01046,G133,G53388,https://larson.house.gov/,http://www.larsonforcongress.org/,11/3/26
George,Stephen,,Latimer,,H,House CD 16,Member of Congress,New York,NY,Democratic,H4NY16087,G49499,G53653,https://latimer.house.gov/,https://www.latimerforny.com/,11/3/26
Robert,Edward,Bob,Latta,,H,House CD 5,Member of Congress,Ohio,OH,Republican,H8OH05036,G573,G53830,https://latta.house.gov/,http://www.lattaforcongress.com/,11/3/26
