first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,
John,Boozman,Committee on Appropriations,Subcommittee on Department of Defense,N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Appropriations,Subcommittee on Financial Services and General Government,N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Rules and Administration,,N00013873,S0AR00150,B001236,,,,,
John,Boozman,Committee on Veterans' Affairs,,N00013873,S0AR00150,B001236,,,,,
Mike,Bost,Agriculture,,N00035420,H4IL12060,B001295,,,,,
Mike,Bost,Transportation and Infrastructure,,N00035420,H4IL12060,B001295,,,,,
Mike,Bost,Veterans' Affairs,,N00035420,H4IL12060,B001295,,,,,
Brendan,Boyle,Budget,,N00035307,H4PA13199,B001296,,,,,
Brendan,Boyle,Ways and Means,,N00035307,H4PA13199,B001296,,,,,
Josh,Brecheen,Budget,,N00051106,H2OK02315,B001317,,,,,
Josh,Brecheen,Homeland Security,,N00051106,H2OK02315,B001317,,,,,
Robert,Bresnahan,Agriculture,,,,B001327,,,,,
Robert,Bresnahan,Small Business,,,,B001327,,,,,
Robert,Bresnahan,Transportation and Infrastructure,,,,B001327,,,,,
Katie,Britt,Commission on Security and Cooperation in Europe,,N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on Appropriations,Subcommittee on Department of Homeland Security,N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on Appropriations,Subcommittee on Energy and Water Development,N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",N00048812,S2AL00145,B001319,,,,,
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection,N00048812,S2AL00145,B001319,,,,,
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",N00048812,S2AL00145,B001319,,,,,
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on Rules and Administration,,N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on the Judiciary,Subcommittee on Border Security and Immigration,N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,N00048812,S2AL00145,B001319,,,,,
Katie,Britt,Committee on the Judiciary,Subcommittee on Intellectual Property,N00048812,S2AL00145,B001319,,,,,
Shontel,Brown,Agriculture,,N00047875,H2OH11169,B001313,,,,,
