first_name,last_name,middle_name,nick_name,bioguide_id,birth_year,death_year,position,state,party,congress_number,election_date
Ami,Bera,,,B001287,1965,,Representative,CA,Democrat,119,
John,Bergman,,,B001301,1947,,Representative,MI,Republican,119,2024-11-05
Donald,Beyer,Sternoff,,B001292,1950,,Representative,VA,Democrat,119,
Stephanie,Bice,I.,,B000740,1973,,Representative,OK,Republican,119,
Joseph,Biden,Robinette,Joe,B000444,1942,,Senator,DE,Democrat,111,
Andrew,Biggs,S.,,B001302,1958,,Representative,AZ,Republican,119,
Sheri,Biggs,,,B001325,1970,,Representative,SC,Republican,119,
Gus,Bilirakis,,,B001257,1963,,Representative,FL,Republican,119,
Sanford,Bishop,Dixon,,B000490,1947,,Representative,GA,Democrat,119,
Marsha,Blackburn,,,B001243,1952,,Senator,TN,Republican,119,
Richard,Blumenthal,,,B001277,1946,,Senator,CT,Democrat,119,
Lisa,Blunt Rochester,,,B001303,1962,,Senator,DE,Democrat,119,
Lauren,Boebert,,,B000825,1986,,Representative,CO,Republican,119,
Suzanne,Bonamici,,,B001278,1954,,Representative,OR,Democrat,119,2024-11-05
Cory,Booker,Anthony,,B001288,1969,,Senator,NJ,Democrat,119,
John,Boozman,,,B001236,1950,,Senator,AR,Republican,119,
Mike,Bost,,,B001295,1960,,Representative,IL,Republican,119,
Brendan,Boyle,Francis,,B001296,1977,,Representative,PA,Democrat,119,
Josh,Brecheen,,,B001317,1979,,Representative,OK,Republican,119,
Robert,Bresnahan,P.,,B001327,1990,,Representative,PA,Republican,119,
Katie,Britt,Boyd,,B001319,1982,,Senator,AL,Republican,119,
Shontel,Brown,,,B001313,1975,,Representative,OH,Democrat,119,
Julia,Brownley,,,B001285,1952,,Representative,CA,Democrat,119,
Vernon,Buchanan,G.,,B001260,1951,,Representative,FL,Republican,119,
Theodore,Budd,Paul,,B001305,1971,,Senator,NC,Republican,119,
Nikki,Budzinski,,,B001315,1977,,Representative,IL,Democrat,119,
Timothy,Burchett,,,B001309,1964,,Representative,TN,Republican,119,2024-11-05
Eric,Burlison,,,B001316,1976,,Representative,MO,Republican,119,
Janelle,Bynum,S.,,B001326,1975,,Representative,OR,Democrat,119,2024-11-05
Ken,Calvert,,,C000059,1953,,Representative,CA,Republican,119,
Kat,Cammack,,,C001039,1988,,Representative,FL,Republican,119,
Maria,Cantwell,E.,,C000127,1958,,Senator,WA,Democrat,119,
Shelley,Capito,Moore,,C001047,1953,,Senator,WV,Republican,119,
Salud,Carbajal,,,C001112,1964,,Representative,CA,Democrat,119,
Mike,Carey,,,C001126,1971,,Representative,OH,Republican,119,
Andre,Carson,,,C001072,1974,,Representative,IN,Democrat,119,
Buddy,Carter,,,C001103,1957,,Representative,GA,Republican,119,
John,Carter,R.,,C001051,1941,,Representative,TX,Republican,119,2024-11-05
Troy,Carter,,,C001125,1963,,Representative,LA,Democrat,119,
Greg,Casar,,,C001131,1989,,Representative,TX,Democrat,119,2024-11-05
Ed,Case,,,C001055,1952,,Representative,HI,Democrat,119,2024-11-05
Bill,Cassidy,,,C001075,1957,,Senator,LA,Republican,119,
Sean,Casten,,,C001117,1971,,Representative,IL,Democrat,119,
Kathy,Castor,,,C001066,1966,,Representative,FL,Democrat,119,
Joaquin,Castro,,,C001091,1974,,Representative,TX,Democrat,119,2024-11-05
Sheila,Cherfilus-McCormick,,,C001127,1979,,Representative,FL,Democrat,119,
Judy,Chu,,,C001080,1953,,Representative,CA,Democrat,119,
Juan,Ciscomani,,,C001133,1982,,Representative,AZ,Republican,119,
Gil,Cisneros,,,C001123,1971,,Representative,CA,Democrat,119,
Katherine,Clark,M.,,C001101,1963,,Representative,MA,Democrat,119,
Yvette,Clarke,Diane,,C001067,1964,,Representative,NY,Democrat,119,
Emanuel,Cleaver,,,C001061,1944,,Representative,MO,Democrat,119,
Benjamin,Cline,,,C001118,1972,,Representative,VA,Republican,119,
Michael,Cloud,,,C001115,1975,,Representative,TX,Republican,119,2024-11-05
James,Clyburn,Enos,,C000537,1940,,Representative,SC,Democrat,119,
Andrew,Clyde,S.,,C001116,1963,,Representative,GA,Republican,119,
Stephen,Cohen,,,C001068,1949,,Representative,TN,Democrat,119,2024-11-05
Tom,Cole,,,C001053,1949,,Representative,OK,Republican,119,
Mike,Collins,,,C001129,1967,,Representative,GA,Republican,119,
Susan,Collins,Margaret,,C001035,1952,,Senator,ME,Republican,119,
James,Comer,,,C001108,1972,,Representative,KY,Republican,119,
Herbert,Conaway,C.,,C001136,1963,,Representative,NJ,Democrat,119,2024-11-05
Gerald,Connolly,E.,Gerry,C001078,1950,2025,Representative,VA,Democrat,119,
Christopher,Coons,A.,,C001088,1963,,Senator,DE,Democrat,119,
John,Cornyn,,,C001056,1952,,Senator,TX,Republican,119,
Jose,Correa,Luis,,C001110,1958,,Representative,CA,Democrat,119,
Catherine,Cortez Masto,Marie,,C001113,1964,,Senator,NV,Democrat,119,
