bioguide_id,first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL,name_slug
D000594,Monica,,,De La Cruz,,Representative,house,Texas,TX,15,Republican,House: 2023-Present,https://www.congress.gov/member/monica-de-la-cruz/D000594,monica-de-la-cruz
D000631,Madeleine,,,Dean,,Representative,house,Pennsylvania,PA,4,Democratic,House: 2019-Present,https://www.congress.gov/member/madeleine-dean/D000631,madeleine-dean
D000197,Diana,,,DeGette,,Representative,house,Colorado,CO,1,Democratic,House: 1997-Present,https://www.congress.gov/member/diana-degette/D000197,diana-degette
D000216,Rosa,L.,,DeLauro,,Representative,house,Connecticut,CT,3,Democratic,House: 1991-Present,https://www.congress.gov/member/rosa-delauro/D000216,rosa-delauro
D000617,Suzan,K.,,DelBene,,Representative,house,Washington,WA,1,Democratic,House: 2012-Present,https://www.congress.gov/member/suzan-delbene/D000617,suzan-delbene
D000530,Christopher,R.,,Deluzio,,Representative,house,Pennsylvania,PA,17,Democratic,House: 2023-Present,https://www.congress.gov/member/christopher-deluzio/D000530,christopher-deluzio
D000623,Mark,,,DeSaulnier,,Representative,house,California,CA,10,Democratic,House: 2015-Present,https://www.congress.gov/member/mark-desaulnier/D000623,mark-desaulnier
D000616,Scott,,,DesJarlais,,Representative,house,Tennessee,TN,4,Republican,House: 2011-Present,https://www.congress.gov/member/scott-desjarlais/D000616,scott-desjarlais
D000635,Maxine,,,Dexter,,Representative,house,Oregon,OR,3,Democratic,House: 2025-Present,https://www.congress.gov/member/maxine-dexter/D000635,maxine-dexter
D000600,Mario,,,Diaz-Balart,,Representative,house,Florida,FL,26,Republican,House: 2003-Present,https://www.congress.gov/member/mario-diaz-balart/D000600,mario-diaz-balart
D000624,Debbie,,,Dingell,,Representative,house,Michigan,MI,6,Democratic,House: 2015-Present,https://www.congress.gov/member/debbie-dingell/D000624,debbie-dingell
D000399,Lloyd,,,Doggett,,Representative,house,Texas,TX,37,Democratic,House: 1995-Present,https://www.congress.gov/member/lloyd-doggett/D000399,lloyd-doggett
D000032,Byron,,,Donalds,,Representative,house,Florida,FL,19,Republican,House: 2021-Present,https://www.congress.gov/member/byron-donalds/D000032,byron-donalds
D000634,Troy,,,Downing,,Representative,house,Montana,MT,2,Republican,House: 2025-Present,https://www.congress.gov/member/troy-downing/D000634,troy-downing
D000622,Tammy,,,Duckworth,,Senator,senate,Illinois,IL,,Democratic,Senate: 2017-Present | House: 2013-2017,https://www.congress.gov/member/tammy-duckworth/D000622,tammy-duckworth
D000628,Neal,P.,,Dunn,,Representative,house,Florida,FL,2,Republican,House: 2017-Present,https://www.congress.gov/member/neal-dunn/D000628,neal-dunn
D000563,Richard,J.,,Durbin,,Senator,senate,Illinois,IL,,Democratic,Senate: 1997-Present | House: 1983-1997,https://www.congress.gov/member/richard-durbin/D000563,richard-durbin
E000246,Chuck,,,Edwards,,Representative,house,North Carolina,NC,11,Republican,House: 2023-Present,https://www.congress.gov/member/chuck-edwards/E000246,chuck-edwards
E000301,Sarah,,,Elfreth,,Representative,house,Maryland,MD,3,Democratic,House: 2025-Present,https://www.congress.gov/member/sarah-elfreth/E000301,sarah-elfreth
E000071,Jake,,,Ellzey,,Representative,house,Texas,TX,6,Republican,House: 2021-Present,https://www.congress.gov/member/jake-ellzey/E000071,jake-ellzey
E000294,Tom,,,Emmer,,Representative,house,Minnesota,MN,6,Republican,House: 2015-Present,https://www.congress.gov/member/tom-emmer/E000294,tom-emmer
E000295,Joni,,,Ernst,,Senator,senate,Iowa,IA,,Republican,Senate: 2015-Present,https://www.congress.gov/member/joni-ernst/E000295,joni-ernst
E000299,Veronica,,,Escobar,,Representative,house,Texas,TX,16,Democratic,House: 2019-Present,https://www.congress.gov/member/veronica-escobar/E000299,veronica-escobar
E000297,Adriano,,,Espaillat,,Representative,house,New York,NY,13,Democratic,House: 2017-Present,https://www.congress.gov/member/adriano-espaillat/E000297,adriano-espaillat
E000298,Ron,,,Estes,,Representative,house,Kansas,KS,4,Republican,House: 2017-Present,https://www.congress.gov/member/ron-estes/E000298,ron-estes
E000296,Dwight,,,Evans,,Representative,house,Pennsylvania,PA,3,Democratic,House: 2016-Present,https://www.congress.gov/member/dwight-evans/E000296,dwight-evans
E000300,Gabe,,,Evans,,Representative,house,Colorado,CO,8,Republican,House: 2025-Present,https://www.congress.gov/member/gabe-evans/E000300,gabe-evans
E000235,Mike,,,Ezell,,Representative,house,Mississippi,MS,4,Republican,House: 2023-Present,https://www.congress.gov/member/mike-ezell/E000235,mike-ezell
F000246,Pat,,,Fallon,,Representative,house,Texas,TX,4,Republican,House: 2021-Present,https://www.congress.gov/member/pat-fallon/F000246,pat-fallon
F000482,Julie,,,Fedorchak,,Representative,house,North Dakota,ND,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/julie-fedorchak/F000482,julie-fedorchak
F000446,Randy,,,Feenstra,,Representative,house,Iowa,IA,4,Republican,House: 2021-Present,https://www.congress.gov/member/randy-feenstra/F000446,randy-feenstra
F000479,John,,,Fetterman,,Senator,senate,Pennsylvania,PA,,Democratic,Senate: 2023-Present,https://www.congress.gov/member/john-fetterman/F000479,john-fetterman
F000110,Cleo,,,Fields,,Representative,house,Louisiana,LA,6,Democratic,"House: 1993-1997, 2025-Present",https://www.congress.gov/member/cleo-fields/F000110,cleo-fields
F000481,Shomari,,,Figures,,Representative,house,Alabama,AL,2,Democratic,House: 2025-Present,https://www.congress.gov/member/shomari-figures/F000481,shomari-figures
F000484,Randy,,,Fine,,Representative,house,Florida,FL,6,Republican,House: 2025-Present,https://www.congress.gov/member/randy-fine/F000484,randy-fine
F000475,Brad,,,Finstad,,Representative,house,Minnesota,MN,1,Republican,House: 2022-Present,https://www.congress.gov/member/brad-finstad/F000475,brad-finstad
F000470,Michelle,,,Fischbach,,Representative,house,Minnesota,MN,7,Republican,House: 2021-Present,https://www.congress.gov/member/michelle-fischbach/F000470,michelle-fischbach
F000463,Deb,,,Fischer,,Senator,senate,Nebraska,NE,,Republican,Senate: 2013-Present,https://www.congress.gov/member/deb-fischer/F000463,deb-fischer
F000471,Scott,,,Fitzgerald,,Representative,house,Wisconsin,WI,5,Republican,House: 2021-Present,https://www.congress.gov/member/scott-fitzgerald/F000471,scott-fitzgerald
F000466,Brian,K.,,Fitzpatrick,,Representative,house,Pennsylvania,PA,1,Republican,House: 2017-Present,https://www.congress.gov/member/brian-fitzpatrick/F000466,brian-fitzpatrick
F000459,Charles,J.,Chuck,Fleischmann,,Representative,house,Tennessee,TN,3,Republican,House: 2011-Present,https://www.congress.gov/member/charles-fleischmann/F000459,charles-fleischmann
F000468,Lizzie,,,Fletcher,,Representative,house,Texas,TX,7,Democratic,House: 2019-Present,https://www.congress.gov/member/lizzie-fletcher/F000468,lizzie-fletcher
F000474,Mike,,,Flood,,Representative,house,Nebraska,NE,1,Republican,House: 2022-Present,https://www.congress.gov/member/mike-flood/F000474,mike-flood
F000480,Vince,,,Fong,,Representative,house,California,CA,20,Republican,House: 2024-Present,https://www.congress.gov/member/vince-fong/F000480,vince-fong
F000454,Bill,,,Foster,,Representative,house,Illinois,IL,11,Democratic,"House: 2008-2011, 2013-Present",https://www.congress.gov/member/bill-foster/F000454,bill-foster
F000477,Valerie,P.,,Foushee,,Representative,house,North Carolina,NC,4,Democratic,House: 2023-Present,https://www.congress.gov/member/valerie-foushee/F000477,valerie-foushee
F000450,Virginia,,,Foxx,,Representative,house,North Carolina,NC,5,Republican,House: 2005-Present,https://www.congress.gov/member/virginia-foxx/F000450,virginia-foxx
F000462,Lois,,,Frankel,,Representative,house,Florida,FL,22,Democratic,House: 2013-Present,https://www.congress.gov/member/lois-frankel/F000462,lois-frankel
F000472,Scott,,,Franklin,,Representative,house,Florida,FL,18,Republican,House: 2021-Present,https://www.congress.gov/member/scott-franklin/F000472,scott-franklin
F000483,Laura,,,Friedman,,Representative,house,California,CA,30,Democratic,House: 2025-Present,https://www.congress.gov/member/laura-friedman/F000483,laura-friedman
F000476,Maxwell,,,Frost,,Representative,house,Florida,FL,10,Democratic,House: 2023-Present,https://www.congress.gov/member/maxwell-frost/F000476,maxwell-frost
F000478,Russell,,,Fry,,Representative,house,South Carolina,SC,7,Republican,House: 2023-Present,https://www.congress.gov/member/russell-fry/F000478,russell-fry
F000469,Russ,,,Fulcher,,Representative,house,Idaho,ID,1,Republican,House: 2019-Present,https://www.congress.gov/member/russ-fulcher/F000469,russ-fulcher
G000574,Ruben,,,Gallego,,Senator,senate,Arizona,AZ,,Democratic,Senate: 2025-Present | House: 2015-2025,https://www.congress.gov/member/ruben-gallego/G000574,ruben-gallego
G000559,John,,,Garamendi,,Representative,house,California,CA,8,Democratic,House: 2009-Present,https://www.congress.gov/member/john-garamendi/G000559,john-garamendi
G000597,Andrew,R.,,Garbarino,,Representative,house,New York,NY,2,Republican,House: 2021-Present,https://www.congress.gov/member/andrew-garbarino/G000597,andrew-garbarino
G000586,Jes�s,G.,Chuy,Garc�a,,Representative,house,Illinois,IL,4,Democratic,House: 2019-Present,https://www.congress.gov/member/jesus-garcia/G000586,jesus-garcia
G000598,Robert,,,Garcia,,Representative,house,California,CA,42,Democratic,House: 2023-Present,https://www.congress.gov/member/robert-garcia/G000598,robert-garcia
G000587,Sylvia,R.,,Garcia,,Representative,house,Texas,TX,29,Democratic,House: 2019-Present,https://www.congress.gov/member/sylvia-garcia/G000587,sylvia-garcia
