first,last,cid,feccandid
Aaron,Bean,N00051369,H2FL04211
Lydia,Bean,N00048293,H2TX06236
Jimmy,Beard,N00051391,H2KS01079
Benjamin,Beardsley,N00050635,H2MD03226
Cheri,Beasley,N00048640,S2NC00497
John,Beatty,N00048318,H2VA10141
Joyce,Beatty,N00033904,H2OH03125
Quinton,Beaubouef,N00049864,H2TX37066
Joel,Beck,N00043194,H8NV02137
Tim,Beck,N00051334,H2AK00457
April,Becker,N00048011,H2NV03161
Nina,Becker,N00049044,H2AZ07195
Rick,Becker,N00050538,S2ND00115
Michelle,Beckley,N00049010,H2TX24155
David,Beckwith,N00050487,H2VA10273
Rodney Jason,Beebe,N00048647,S2OR00135
Nick III,Begich,N00049408,H2AK01083
Jeff,Beierlein,N00051111,H2TN05479
Michael,Beilstein,N00030200,H8OR04134
Robyn Mariwe,Belinskey,N00048935,H2WY29017
Doug,Bell,N00038636,H2AL03107
Jarome,Bell,N00045814,H0VA02175
Matt,Bell,N00051370,H2FL06208
Anita,Belle,N00041735,H2MI13386
Chris,Bellingham,N00048165,H2CA25192
Gerald,Beloin,N00032743,S0NH00284
Elaine,Belson,N00049587,H2MD05544
Joaquin,Beltran,N00050575,H2CA42247
Brian,Belzer,N00051629,H2LA06041
Tyrrell,Ben-Avi,N00051512,H2NY13146
Tyrrell,Ben-Avi,N00048432,S2NY00374
Tannya,Benavides,N00048782,H2TX28081
Matt,Benda,N00050645,H2MN01181
Adam Siik,Benedetto,N00050045,S2WI00508
Erika,Benfield,N00048859,H2FL07180
Brian,Bengs,N00050032,S2SD00126
Kirk Alan,Benjamin,N00050164,H2OH10260
Leon,Benjamin,N00046317,H0VA04064
Michael,Bennet,N00030608,S0CO00211
John,Bennett,N00050698,H2OK02224
Justin,Bennett,N00050466,H2SC04162
Shantele,Bennett,N00048397,S2FL00540
Chris Mr,Benoit,N00048691,H2GA02130
Clyde,Benson,N00049771,H2TN04290
Karen,Bentley,N00049664,H2NC13201
Cliff,Bentz,N00045773,H0OR02127
Jake,Bequette,N00048943,S2AR00107
Ami,Bera,N00030717,H0CA03078
Michael,Berean,N00050162,H2NY18095
Matt,Berg,N00048044,H2TX22167
John,Bergman,N00039533,H6MI01226
Charlotte,Bergmann,N00032405,H2TN09232
Jeffrey,Berk,N00051381,H2FL23245
John,Berman,N00047436,S2NH00298
Claston,Bernard,N00047964,H2LA02206
Deliris Montanez,Berrios,N00049807,H2TX16250
Paul III,Berry,N00039309,H2MO02219
Brian,Bertges,N00049516,H2FL15118
Frank,Bertone,N00050517,H2AZ06320
Russell,Best,N00031994,H0NV02167
Greg,Betts,N00048752,H2OH15244
Jaime Herrera,Beutler,N00031559,H0WA03187
Brad,Beyer,N00049406,S2WI00482
Don,Beyer,N00036018,H4VA08224
Arun,Bhumitra,N00043280,S8CA00572
Alessandra,Biaggi,N00050421,H2NY03196
Joe,Biasco,N00051088,H2NJ11244
Rosalie Mae,Bibona,N00051312,S2VT00318
Stephanie,Bice,N00044579,H0OK05205
David,Biery,N00047890,S2KY00103
David,Bies,N00051341,H2AZ02436
Andy,Biggs,N00039293,H6AZ05083
Timothy Daniel Dr. M.D.,Bilash,N00048669,H2CA50190
Gus,Bilirakis,N00027462,H6FL09070
Mike,Billand,N00048035,H2TX02110
Beryl,Billiott,N00052084,S2LA00234
Chris,Binns,N00050735,H2WA06178
Kirby,Birgans,N00048208,H2IL01216
Chris,Bish,N00045471,H0CA06170
Dan,Bishop,N00044335,H0NC09187
Jullian,Bishop,N00050662,H2NC01248
Laurie,Bishop,N00048724,H2MT02076
Sanford,Bishop,N00002674,H2GA02031
Josh,Bitterman,N00050388,H2MI11257
Martell,Bivings,N00051064,H2MI13360
Annie,Black,N00049697,H2NV04128
Colt,Black,N00050136,H2MD08209
Dianne,Black,N00050659,H2MS01148
Gary,Black,N00048824,S2GA00209
Karla,Black,N00051027,H2CA06333
Oliver,Black,N00051660,H2WA03225
Scott,Black,N00050410,H2NH02286
Frank,Blacke,N00051517,H2OK04162
Kevin,Blacker,N00051894,H2CT02195
Walt,Blackman,N00048149,H2AZ01339
Andy,Blalock,N00048146,H2AL05110
Lynda,Blanchard,N00048384,S2AL00137
Jaimy,Blanco,N00042288,H8TX29110
Keith,Blandford,N00032969,H2SC01119
Jaqueline,Blaney,N00049576,H2LA06033
Arnold,Blankenship,N00051248,S2KY00178
Joshua Sr,Blanton,N00051246,S2KY00152
Michael,Blasi,N00048999,H2NJ04181
Washington,Blask,N00049580,H2MA05138
Edgar,Blatchford,N00040107,S6AK00177
Kenneth,Blevins,N00051009,S2OK00236
Todd,Bloom,N00051440,H2WA06186
Earl,Blumenauer,N00007727,H6OR03064
Richard,Blumenthal,N00031685,S0CT00177
Ray,Bly,N00026756,H8MD07042
George,Bochetto,N00050544,S2PA00703
Lillie,Boddie,N00049223,S2AL00194
Lauren,Boebert,N00045974,H0CO03165
Michael,Boggus,N00046186,H0GA09196
Jim,Bognet,N00046439,H0PA08221
Marvin,Boguslawski,N00049657,H2NC07179
Christina,Bohannan,N00049098,H2IA02111
Don,Bolduc,N00044989,S0NH00326
Jason,Bollinger,N00049400,S2OK00137
Articia,Bomer,N00047007,H0MI13505
Suzanne,Bonamici,N00033474,H2OR01133
Chance,Bonaventura,N00049696,H2NV04110
Michelle,Bond,N00051422,H2NY01257
Steven,Bond,N00051696,S2HI00239
Tiffany,Bond,N00041818,H8ME02219
Feena,Bonoan,N00050750,S2HI00171
Ethan,Book,N00032535,H2CT04126
Charles,Booker,N00046366,S0KY00420
Chrelle,Booker,N00049241,S2NC00554
T Charles,Bookwalter,N00050121,H2IN04168
Jeffrey,Boone,N00049511,H2FL10309
John,Boozman,N00013873,S0AR00150
Debra Jo,Borden,N00051880,H2AZ05207
Sherrise,Bordes,N00052060,S2AZ00455
Andreas,Borgeas,N00049445,H2CA22173
Rene,Borghese,N00048111,H2NC04101
Eric,Borrell,N00048716,H2MI10119
Clark,Bossert,N00049144,H2NV03203
Mike,Bost,N00035420,H4IL12060
Matt,Boswell,N00047611,H2FL20126
Michelle,Botelho,N00049494,H2CT05230
Anthony,Bouchard,N00048060,H2WY00158
Paul,Boucher,N00050974,H2WI08071
Carolyn,Bourdeaux,N00041791,H8GA07201
Brenda,Bourn,N00050528,S2ID00160
