first_name,last_name,committee,subcommittee
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Katie,Britt,Committee on Rules and Administration,
Katie,Britt,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights"
Katie,Britt,Committee on the Judiciary,Subcommittee on Border Security and Immigration
Katie,Britt,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Katie,Britt,Committee on the Judiciary,Subcommittee on Intellectual Property
Ted,Budd,Committee on Armed Services,Subcommittee on Airland
Ted,Budd,Committee on Armed Services,Subcommittee on Cybersecurity
Ted,Budd,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities
Ted,Budd,Committee on Armed Services,Subcommittee on Personnel
Ted,Budd,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
Ted,Budd,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Ted,Budd,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Ted,Budd,Committee on Small Business and Entrepreneurship,
Ted,Budd,Joint Economic Committee,
Ted,Budd,Select Committee on Intelligence,
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety"
Maria,Cantwell,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Maria,Cantwell,Committee on Energy and Natural Resources,
Maria,Cantwell,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
Maria,Cantwell,Committee on Indian Affairs,
Maria,Cantwell,Committee on Small Business and Entrepreneurship,
Maria,Cantwell,Joint Committee on Taxation,
Shelley,Capito,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Shelley,Capito,Committee on Appropriations,Subcommittee on Department of Defense
Shelley,Capito,Committee on Appropriations,Subcommittee on Department of Homeland Security
Shelley,Capito,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies"
Shelley,Capito,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Shelley,Capito,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Shelley,Capito,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
Shelley,Capito,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy"
Shelley,Capito,"Committee on Commerce, Science, and Transportation","Subcommittee on Surface Transportation, Freight, Pipelines, and Safety"
Shelley,Capito,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media
Shelley,Capito,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight"
Shelley,Capito,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
Shelley,Capito,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
