first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Angela,Alsobrooks,Special Committee on Aging,,,S4MD00327,A000382,,,,,,
Gabe,Amo,Budget,,,H4RI01265,A000380,,,,,,
Gabe,Amo,Foreign Affairs,,,H4RI01265,A000380,,,,,,
Gabe,Amo,"Science, Space, and Technology",,,H4RI01265,A000380,,,,,,
Mark,Amodei,Appropriations,,N00031177,H2NV02395,A000369,,,,,,H2NV02395
Mark,Amodei,Natural Resources,,N00031177,H2NV02395,A000369,,,,,,H2NV02395
Yassamin,Ansari,Education and Workforce,,,H4AZ03109,A000381,,,,,,
Yassamin,Ansari,Natural Resources,,,H4AZ03109,A000381,,,,,,
Yassamin,Ansari,Oversight and Government Reform,,,H4AZ03109,A000381,,,,,,
Jodey,Arrington,Budget,,N00038285,H6TX19099,A000375,,,,,,H6TX19099
Jodey,Arrington,Ways and Means,,N00038285,H6TX19099,A000375,,,,,,H6TX19099
Jake,Auchincloss,Energy and Commerce,,N00045506,H0MA04192,A000148,,,,,,H0MA04192
Brian,Babin,"Science, Space, and Technology",,N00005736,H6TX02079,B001291,,,,,,H6TX02079
Brian,Babin,Transportation and Infrastructure,,N00005736,H6TX02079,B001291,,,,,,H6TX02079
Don,Bacon,Agriculture,,N00037049,H6NE02125,B001298,,,,,,
Don,Bacon,Armed Services,,N00037049,H6NE02125,B001298,,,,,,
James,Baird,Agriculture,,N00041954,H8IN04199,B001307,,,,,,H8IN04199
James,Baird,Foreign Affairs,,N00041954,H8IN04199,B001307,,,,,,H8IN04199
James,Baird,"Science, Space, and Technology",,N00041954,H8IN04199,B001307,,,,,,H8IN04199
Troy,Balderson,Energy and Commerce,,N00042194,H8OH12180,B001306,,,,,,H8OH12180
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Department of Defense,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Department of Interior, Environment, and Related Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,Subcommittee on Energy and Water Development,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,,S2WI00219,B001230,,,,,,
Tammy,Baldwin,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,,S2WI00219,B001230,,,,,,
Becca,Balint,Budget,,N00049900,H2VT01076,B001318,,,,,,H2VT01076
Becca,Balint,Judiciary,,N00049900,H2VT01076,B001318,,,,,,H2VT01076
Jim,Banks,Committee on Armed Services,Subcommittee on Personnel,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,Committee on Armed Services,Subcommittee on Seapower,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,Committee on Armed Services,Subcommittee on Strategic Forces,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Employment and Workplace Safety,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Jim,Banks,Committee on Veterans' Affairs,,N00037185,S4IN00196,B001299,,,,,,H6IN03229
Andy,Barr,Financial Services,,N00031233,H0KY06104,B001282,,,,,,H0KY06104
Andy,Barr,Foreign Affairs,,N00031233,H0KY06104,B001282,,,,,,H0KY06104
Andy,Barr,Select Comm on the Strategic Competition US and China,,N00031233,H0KY06104,B001282,,,,,,H0KY06104
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on Energy,,S6WY00068,B001261,,,,,,
John,Barrasso,Committee on Energy and Natural Resources,Subcommittee on National Parks,,S6WY00068,B001261,,,,,,
