first_name,last_name,committee,subcommittee,cid,fec_id,match_method,match_score,matched_name,status
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",N00030608,S0CO00211,alias-gated-fuzzy,1.000,Michael Bennet,matched
Michael,Bennet,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",N00030608,S0CO00211,alias-gated-fuzzy,1.000,Michael Bennet,matched
Michael,Bennet,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",N00030608,S0CO00211,alias-gated-fuzzy,1.000,Michael Bennet,matched
Michael,Bennet,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness",N00030608,S0CO00211,alias-gated-fuzzy,1.000,Michael Bennet,matched
Michael,Bennet,Committee on Finance,Subcommittee on Taxation and IRS Oversight,N00030608,S0CO00211,alias-gated-fuzzy,1.000,Michael Bennet,matched
Michael,Bennet,Committee on Rules and Administration,,N00030608,S0CO00211,alias-gated-fuzzy,1.000,Michael Bennet,matched
Michael,Bennet,Select Committee on Intelligence,,N00030608,S0CO00211,alias-gated-fuzzy,1.000,Michael Bennet,matched
Cliff,Bentz,Energy and Commerce,,N00045773,H0OR02127,alias-gated-fuzzy,1.000,Cliff Bentz,matched
Cliff,Bentz,Natural Resources,,N00045773,H0OR02127,alias-gated-fuzzy,1.000,Cliff Bentz,matched
Ami,Bera,Foreign Affairs,,N00030717,H0CA03078,alias-gated-fuzzy,1.000,Ami Bera,matched
Ami,Bera,Intelligence,,N00030717,H0CA03078,alias-gated-fuzzy,1.000,Ami Bera,matched
Jack,Bergman,Armed Services,,N00039533,H6MI01226,alias-gated-fuzzy,0.727,John Bergman,unsure
Jack,Bergman,Budget,,N00039533,H6MI01226,alias-gated-fuzzy,0.727,John Bergman,unsure
Jack,Bergman,Veterans' Affairs,,N00039533,H6MI01226,alias-gated-fuzzy,0.727,John Bergman,unsure
Donald,Beyer,Ways and Means,,,,first-fuzzy-low,0.667,,unmatched
Stephanie,Bice,Appropriations,,N00044579,H0OK05205,alias-gated-fuzzy,1.000,Stephanie Bice,matched
Stephanie,Bice,House Administration,,N00044579,H0OK05205,alias-gated-fuzzy,1.000,Stephanie Bice,matched
Andy,Biggs,Judiciary,,N00039293,H6AZ05083,alias-gated-fuzzy,1.000,Andy Biggs,matched
Andy,Biggs,Oversight and Government Reform,,N00039293,H6AZ05083,alias-gated-fuzzy,1.000,Andy Biggs,matched
Sheri,Biggs,Foreign Affairs,,,,first-fuzzy-low,0.000,,unmatched
Sheri,Biggs,Homeland Security,,,,first-fuzzy-low,0.000,,unmatched
Sheri,Biggs,"Science, Space, and Technology",,,,first-fuzzy-low,0.000,,unmatched
Gus,Bilirakis,Energy and Commerce,,N00027462,H6FL09070,alias-gated-fuzzy,1.000,Gus Bilirakis,matched
Gus,Bilirakis,Select Comm on the Strategic Competition US and China,,N00027462,H6FL09070,alias-gated-fuzzy,1.000,Gus Bilirakis,matched
Sanford,Bishop,Appropriations,,N00002674,H2GA02031,alias-gated-fuzzy,1.000,Sanford Bishop,matched
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,,no-bucket,0.000,,unmatched
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,,no-bucket,0.000,,unmatched
Marsha,Blackburn,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on Finance,Subcommittee on Health Care,,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy",,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on Finance,Subcommittee on Taxation and IRS Oversight,,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Intellectual Property,,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law",,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on the Constitution,,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Committee on Veterans' Affairs,,,,no-bucket,0.000,,unmatched
Marsha,Blackburn,Joint Economic Committee,,,,no-bucket,0.000,,unmatched
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Airland,N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Personnel,N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Seapower,N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census",N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law",N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,Committee on Veterans' Affairs,,N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Richard,Blumenthal,United States Senate Caucus on International Narcotics Control,,N00031685,S0CT00177,alias-gated-fuzzy,1.000,Richard Blumenthal,matched
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,,,no-bucket,0.000,,unmatched
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,,,no-bucket,0.000,,unmatched
Lauren,Boebert,Natural Resources,,N00045974,H0CO03165,alias-gated-fuzzy,1.000,Lauren Boebert,matched
Lauren,Boebert,Oversight and Government Reform,,N00045974,H0CO03165,alias-gated-fuzzy,1.000,Lauren Boebert,matched
Suzanne,Bonamici,Education and Workforce,,N00033474,H2OR01133,alias-gated-fuzzy,1.000,Suzanne Bonamici,matched
Suzanne,Bonamici,"Science, Space, and Technology",,N00033474,H2OR01133,alias-gated-fuzzy,1.000,Suzanne Bonamici,matched
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on Small Business and Entrepreneurship,,,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on the Judiciary,Subcommittee on Border Security and Immigration,,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,,first-fuzzy-low,0.364,,unmatched
Cory,Booker,Committee on the Judiciary,Subcommittee on the Constitution,,,first-fuzzy-low,0.364,,unmatched
John,Boozman,Commission on Security and Cooperation in Europe,,N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Appropriations,Subcommittee on Department of Defense,N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Appropriations,Subcommittee on Financial Services and General Government,N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Rules and Administration,,N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
John,Boozman,Committee on Veterans' Affairs,,N00013873,S0AR00150,alias-gated-fuzzy,1.000,John Boozman,matched
Mike,Bost,Agriculture,,N00035420,H4IL12060,alias-gated-fuzzy,1.000,Mike Bost,matched
Mike,Bost,Transportation and Infrastructure,,N00035420,H4IL12060,alias-gated-fuzzy,1.000,Mike Bost,matched
Mike,Bost,Veterans' Affairs,,N00035420,H4IL12060,alias-gated-fuzzy,1.000,Mike Bost,matched
Brendan,Boyle,Budget,,N00035307,H4PA13199,alias-gated-fuzzy,1.000,Brendan Boyle,matched
Brendan,Boyle,Ways and Means,,N00035307,H4PA13199,alias-gated-fuzzy,1.000,Brendan Boyle,matched
Josh,Brecheen,Budget,,N00051106,H2OK02315,alias-gated-fuzzy,1.000,Josh Brecheen,matched
Josh,Brecheen,Homeland Security,,N00051106,H2OK02315,alias-gated-fuzzy,1.000,Josh Brecheen,matched
Robert,Bresnahan,Agriculture,,,,no-bucket,0.000,,unmatched
Robert,Bresnahan,Small Business,,,,no-bucket,0.000,,unmatched
Robert,Bresnahan,Transportation and Infrastructure,,,,no-bucket,0.000,,unmatched
Katie,Britt,Commission on Security and Cooperation in Europe,,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on Appropriations,Subcommittee on Department of Homeland Security,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on Appropriations,Subcommittee on Energy and Water Development,N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
Katie,Britt,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",N00048812,S2AL00145,alias-gated-fuzzy,0.833,Katie Boyd Britt,unsure
