first_name,last_name,state,district,party,committee
Mariannette,Miller-Meeks,,1st,R,Energy and Commerce
Mariannette,Miller-Meeks,,1st,R,Veterans' Affairs
Barry,Moore,,1st,R,Agriculture
Blake,Moore,,1st,R,Budget
Barry,Moore,,1st,R,Judiciary
Blake,Moore,,1st,R,Ways and Means
Nathaniel,Moran,,1st,R,Ethics
Nathaniel,Moran,,1st,R,Select Comm on the Strategic Competition US and China
Nathaniel,Moran,,1st,R,Ways and Means
Frank,Mrvan,,1st,D,Appropriations
Richard,Neal,,1st,D,Joint Committee on Taxation
Richard,Neal,,1st,D,Ways and Means
Donald,Norcross,,1st,D,Armed Services
Donald,Norcross,,1st,D,Education and Workforce
Chris,Pappas,,1st,D,Transportation and Infrastructure
Chris,Pappas,,1st,D,Veterans' Affairs
Jimmy,Patronis,,1st,R,Small Business
Jimmy,Patronis,,1st,R,Transportation and Infrastructure
Chellie,Pingree,,1st,D,Agriculture
Chellie,Pingree,,1st,D,Appropriations
Steve,Scalise,,1st,R,
David,Schweikert,,1st,R,Ways and Means
Melanie,Stansbury,,1st,D,Natural Resources
Melanie,Stansbury,,1st,D,Oversight and Government Reform
Bryan,Steil,,1st,R,Financial Services
Bryan,Steil,,1st,R,House Administration
Bryan,Steil,,1st,R,Joint Committee of Congress on the Library
Dina,Titus,,1st,D,Foreign Affairs
Dina,Titus,,1st,D,Transportation and Infrastructure
Robert,Wittman,,1st,R,Armed Services
Robert,Wittman,,1st,R,Natural Resources
Robert,Wittman,,1st,R,Select Comm on the Strategic Competition US and China
Ryan,Zinke,,1st,R,Appropriations
Ryan,Zinke,,1st,R,Foreign Affairs
Joaquin,Castro,,20th,D,Foreign Affairs
Joaquin,Castro,,20th,D,Intelligence
Sheila,Cherfilus-McCormick,,20th,D,Foreign Affairs
Sheila,Cherfilus-McCormick,,20th,D,Veterans' Affairs
Vince,Fong,,20th,R,"Science, Space, and Technology"
Vince,Fong,,20th,R,Transportation and Infrastructure
Paul,Tonko,,20th,D,Budget
Paul,Tonko,,20th,D,Energy and Commerce
Jim,Costa,,21st,D,Agriculture
Jim,Costa,,21st,D,Foreign Affairs
Brian,Mast,,21st,R,Foreign Affairs
Brian,Mast,,21st,R,Transportation and Infrastructure
Chip,Roy,,21st,R,Budget
Chip,Roy,,21st,R,Judiciary
Chip,Roy,,21st,R,Rules
Elise,Stefanik,,21st,R,Armed Services
Elise,Stefanik,,21st,R,Education and Workforce
Elise,Stefanik,,21st,R,Intelligence
Lois,Frankel,,22nd,D,Appropriations
John,Mannion,,22nd,D,Agriculture
John,Mannion,,22nd,D,Education and Workforce
Troy,Nehls,,22nd,R,Judiciary
Troy,Nehls,,22nd,R,"Select Subcomm to Investigate Questions about Jan 6, 2021"
Troy,Nehls,,22nd,R,Transportation and Infrastructure
David,Valadao,,22nd,R,Appropriations
David,Valadao,,22nd,R,Joint Committee of Congress on the Library
Tony,Gonzales,,23rd,R,Appropriations
Tony,Gonzales,,23rd,R,Homeland Security
Nicholas,Langworthy,,23rd,R,Energy and Commerce
Nicholas,Langworthy,,23rd,R,Oversight and Government Reform
Nicholas,Langworthy,,23rd,R,Rules
Jared,Moskowitz,,23rd,D,Foreign Affairs
Jared,Moskowitz,,23rd,D,Judiciary
Jared,Moskowitz,,23rd,D,"Select Subcomm to Investigate Questions about Jan 6, 2021"
Jay,Obernolte,,23rd,R,Budget
Jay,Obernolte,,23rd,R,Energy and Commerce
Jay,Obernolte,,23rd,R,"Science, Space, and Technology"
Salud,Carbajal,,24th,D,Agriculture
Salud,Carbajal,,24th,D,Armed Services
Salud,Carbajal,,24th,D,Transportation and Infrastructure
Claudia,Tenney,,24th,R,Intelligence
Claudia,Tenney,,24th,R,"Science, Space, and Technology"
Claudia,Tenney,,24th,R,Ways and Means
Beth,Van Duyne,,24th,R,Small Business
Beth,Van Duyne,,24th,R,Ways and Means
Frederica,Wilson,,24th,D,Education and Workforce
Frederica,Wilson,,24th,D,Transportation and Infrastructure
Joseph,Morelle,,25th,D,Appropriations
Joseph,Morelle,,25th,D,House Administration
Joseph,Morelle,,25th,D,Joint Committee of Congress on the Library
Raul,Ruiz,,25th,D,Energy and Commerce
Debbie,Wasserman Schultz,,25th,D,Appropriations
Roger,Williams,,25th,R,Financial Services
Roger,Williams,,25th,R,Small Business
Julia,Brownley,,26th,D,Natural Resources
Julia,Brownley,,26th,D,Transportation and Infrastructure
Julia,Brownley,,26th,D,Veterans' Affairs
Mario,Diaz-Balart,,26th,R,Appropriations
Brandon,Gill,,26th,R,Budget
Brandon,Gill,,26th,R,Judiciary
Brandon,Gill,,26th,R,Oversight and Government Reform
Timothy,Kennedy,,26th,D,Homeland Security
Timothy,Kennedy,,26th,D,Veterans' Affairs
Michael,Cloud,,27th,R,Appropriations
Michael,Cloud,,27th,R,Oversight and Government Reform
Maria,Salazar,,27th,R,Financial Services
Maria,Salazar,,27th,R,Foreign Affairs
George,Whitesides,,27th,D,Armed Services
George,Whitesides,,27th,D,"Science, Space, and Technology"
Judy,Chu,,28th,D,Budget
Judy,Chu,,28th,D,Ways and Means
Henry,Cuellar,,28th,D,Appropriations
Carlos,Gimenez,,28th,R,Armed Services
Carlos,Gimenez,,28th,R,Homeland Security
Carlos,Gimenez,,28th,R,Select Comm on the Strategic Competition US and China
Sylvia,Garcia,,29th,D,Ethics
Sylvia,Garcia,,29th,D,Financial Services
Luz,Rivas,,29th,D,Natural Resources
Luz,Rivas,,29th,D,"Science, Space, and Technology"
Mark,Amodei,,2nd,R,Appropriations
Mark,Amodei,,2nd,R,Natural Resources
Don,Bacon,,2nd,R,Agriculture
Don,Bacon,,2nd,R,Armed Services
Cliff,Bentz,,2nd,R,Energy and Commerce
Cliff,Bentz,,2nd,R,Natural Resources
Sanford,Bishop,,2nd,D,Appropriations
Brendan,Boyle,,2nd,D,Budget
Brendan,Boyle,,2nd,D,Ways and Means
Josh,Brecheen,,2nd,R,Budget
Josh,Brecheen,,2nd,R,Homeland Security
Tim,Burchett,,2nd,R,Foreign Affairs
Tim,Burchett,,2nd,R,Oversight and Government Reform
Tim,Burchett,,2nd,R,Transportation and Infrastructure
Troy,Carter,,2nd,D,Energy and Commerce
Troy,Carter,,2nd,D,Homeland Security
Joe,Courtney,,2nd,D,Armed Services
Joe,Courtney,,2nd,D,Education and Workforce
Angie,Craig,,2nd,D,Agriculture
Elijah,Crane,,2nd,R,Homeland Security
Elijah,Crane,,2nd,R,Oversight and Government Reform
Dan,Crenshaw,,2nd,R,Energy and Commerce
Dan,Crenshaw,,2nd,R,Intelligence
Troy,Downing,,2nd,R,Financial Services
Troy,Downing,,2nd,R,Small Business
Neal,Dunn,,2nd,R,Energy and Commerce
Neal,Dunn,,2nd,R,Select Comm on the Strategic Competition US and China
Shomari,Figures,,2nd,D,Agriculture
Shomari,Figures,,2nd,D,Transportation and Infrastructure
Andrew,Garbarino,,2nd,R,Ethics
Andrew,Garbarino,,2nd,R,Financial Services
Andrew,Garbarino,,2nd,R,Homeland Security
Jared,Golden,,2nd,D,Armed Services
Jared,Golden,,2nd,D,Natural Resources
Maggie,Goodlander,,2nd,D,Armed Services
Maggie,Goodlander,,2nd,D,Small Business
Brett,Guthrie,,2nd,R,Energy and Commerce
J.,Hill,,2nd,R,Financial Services
J.,Hill,,2nd,R,Intelligence
Ashley,Hinson,,2nd,R,Appropriations
Ashley,Hinson,,2nd,R,Ethics
Ashley,Hinson,,2nd,R,Select Comm on the Strategic Competition US and China
Jared,Huffman,,2nd,D,Natural Resources
Jared,Huffman,,2nd,D,Transportation and Infrastructure
Robin,Kelly,,2nd,D,Energy and Commerce
Jennifer,Kiggans,,2nd,R,Armed Services
Jennifer,Kiggans,,2nd,R,Natural Resources
Jennifer,Kiggans,,2nd,R,Veterans' Affairs
Rick,Larsen,,2nd,D,Transportation and Infrastructure
Seth,Magaziner,,2nd,D,Homeland Security
Seth,Magaziner,,2nd,D,Natural Resources
Celeste,Maloy,,2nd,R,Appropriations
Celeste,Maloy,,2nd,R,Natural Resources
James,McGovern,,2nd,D,Agriculture
James,McGovern,,2nd,D,Rules
John,Moolenaar,,2nd,R,Appropriations
John,Moolenaar,,2nd,R,Select Comm on the Strategic Competition US and China
Riley,Moore,,2nd,R,Appropriations
Joe,Neguse,,2nd,D,Judiciary
Joe,Neguse,,2nd,D,Natural Resources
Joe,Neguse,,2nd,D,Rules
Johnny,Olszewski,,2nd,D,Foreign Affairs
Johnny,Olszewski,,2nd,D,Small Business
Mark,Pocan,,2nd,D,Appropriations
Deborah,Ross,,2nd,D,Ethics
Deborah,Ross,,2nd,D,Judiciary
Deborah,Ross,,2nd,D,"Science, Space, and Technology"
Derek,Schmidt,,2nd,R,Armed Services
Derek,Schmidt,,2nd,R,Judiciary
Derek,Schmidt,,2nd,R,Small Business
Michael,Simpson,,2nd,R,Appropriations
David,Taylor,,2nd,R,Agriculture
David,Taylor,,2nd,R,Transportation and Infrastructure
Bennie,Thompson,,2nd,D,Homeland Security
Jill,Tokuda,,2nd,D,Agriculture
Jill,Tokuda,,2nd,D,Armed Services
Jill,Tokuda,,2nd,D,Select Comm on the Strategic Competition US and China
Jefferson,Van Drew,,2nd,R,Judiciary
Jefferson,Van Drew,,2nd,R,Transportation and Infrastructure
Gabe,Vasquez,,2nd,D,Agriculture
Gabe,Vasquez,,2nd,D,Armed Services
Ann,Wagner,,2nd,R,Financial Services
Ann,Wagner,,2nd,R,Intelligence
Joe,Wilson,,2nd,R,Armed Services
Joe,Wilson,,2nd,R,Education and Workforce
Joe,Wilson,,2nd,R,Foreign Affairs
Rudy,Yakym,,2nd,R,Ways and Means
Jasmine,Crockett,,30th,D,Judiciary
Jasmine,Crockett,,30th,D,Oversight and Government Reform
Jasmine,Crockett,,30th,D,"Select Subcomm to Investigate Questions about Jan 6, 2021"
Laura,Friedman,,30th,D,"Science, Space, and Technology"
Laura,Friedman,,30th,D,Transportation and Infrastructure
John,Carter,,31st,R,Appropriations
Gilbert,Cisneros,,31st,D,Armed Services
Gilbert,Cisneros,,31st,D,Small Business
Julie,Johnson,,32nd,D,Foreign Affairs
Julie,Johnson,,32nd,D,Homeland Security
Julie,Johnson,,32nd,D,House Administration
Julie,Johnson,,32nd,D,Joint Committee of Congress on the Library
Brad,Sherman,,32nd,D,Financial Services
Brad,Sherman,,32nd,D,Foreign Affairs
Pete,Aguilar,,33rd,D,Appropriations
Marc,Veasey,,33rd,D,Energy and Commerce
Jimmy,Gomez,,34th,D,Intelligence
Jimmy,Gomez,,34th,D,Ways and Means
Vicente,Gonzalez,,34th,D,Financial Services
Greg,Casar,,35th,D,Education and Workforce
Greg,Casar,,35th,D,Oversight and Government Reform
Norma,Torres,,35th,D,Appropriations
Norma,Torres,,35th,D,House Administration
Brian,Babin,,36th,R,"Science, Space, and Technology"
Brian,Babin,,36th,R,Transportation and Infrastructure
Ted,Lieu,,36th,D,Foreign Affairs
Ted,Lieu,,36th,D,Judiciary
Lloyd,Doggett,,37th,D,Budget
Lloyd,Doggett,,37th,D,Joint Committee on Taxation
Lloyd,Doggett,,37th,D,Ways and Means
Sydney,Kamlager-Dove,,37th,D,Foreign Affairs
Sydney,Kamlager-Dove,,37th,D,Judiciary
Wesley,Hunt,,38th,R,Judiciary
Wesley,Hunt,,38th,R,Natural Resources
Linda,Sanchez,,38th,D,Ways and Means
Mark,Takano,,39th,D,Education and Workforce
Mark,Takano,,39th,D,Veterans' Affairs
Yassamin,Ansari,,3rd,D,Education and Workforce
Yassamin,Ansari,,3rd,D,Natural Resources
Yassamin,Ansari,,3rd,D,Oversight and Government Reform
Joyce,Beatty,,3rd,D,Financial Services
Sheri,Biggs,,3rd,R,Foreign Affairs
Sheri,Biggs,,3rd,R,Homeland Security
Sheri,Biggs,,3rd,R,"Science, Space, and Technology"
Kat,Cammack,,3rd,R,Agriculture
Kat,Cammack,,3rd,R,Energy and Commerce
Herbert,Conaway,,3rd,D,Small Business
Herbert,Conaway,,3rd,D,Veterans' Affairs
Sharice,Davids,,3rd,D,Agriculture
Sharice,Davids,,3rd,D,Transportation and Infrastructure
Rosa,DeLauro,,3rd,D,Appropriations
Maxine,Dexter,,3rd,D,Natural Resources
Maxine,Dexter,,3rd,D,Veterans' Affairs
Sarah,Elfreth,,3rd,D,Armed Services
Sarah,Elfreth,,3rd,D,Natural Resources
Dwight,Evans,,3rd,D,Ways and Means
Charles,Fleischmann,,3rd,R,Appropriations
Charles,Fleischmann,,3rd,R,"Science, Space, and Technology"
Michael,Guest,,3rd,R,Appropriations
Michael,Guest,,3rd,R,Ethics
Michael,Guest,,3rd,R,Homeland Security
Clay,Higgins,,3rd,R,Armed Services
Clay,Higgins,,3rd,R,Oversight and Government Reform
Clay,Higgins,,3rd,R,"Select Subcomm to Investigate Questions about Jan 6, 2021"
Jeff,Hurd,,3rd,R,Natural Resources
Jeff,Hurd,,3rd,R,"Science, Space, and Technology"
Jeff,Hurd,,3rd,R,Transportation and Infrastructure
Brian,Jack,,3rd,R,Oversight and Government Reform
Brian,Jack,,3rd,R,Rules
Brian,Jack,,3rd,R,Small Business
Mike,Kennedy,,3rd,R,Natural Resources
Mike,Kennedy,,3rd,R,"Science, Space, and Technology"
Mike,Kennedy,,3rd,R,Transportation and Infrastructure
Kevin,Kiley,,3rd,R,Education and Workforce
Kevin,Kiley,,3rd,R,Judiciary
Kevin,Kiley,,3rd,R,Transportation and Infrastructure
Susie,Lee,,3rd,D,Appropriations
Susie,Lee,,3rd,D,Natural Resources
Teresa,Leger Fernandez,,3rd,D,Natural Resources
Teresa,Leger Fernandez,,3rd,D,Rules
Frank,Lucas,,3rd,R,Agriculture
Frank,Lucas,,3rd,R,Financial Services
