first_name,first_name1,last_name,last_name1,bioguide_id1,position1,state1
Marsha,Marsha,Blackburn,Blackburn,B001243,Senator,TN
Marsha,Marsha,Blackburn,Blackburn,B001243,Senator,TN
Marsha,Marsha,Blackburn,Blackburn,B001243,Senator,TN
Marsha,Marsha,Blackburn,Blackburn,B001243,Senator,TN
Richard,Richard,Blumenthal,Blumenthal,B001277,Senator,CT
Richard,Richard,Blumenthal,Blumenthal,B001277,Senator,CT
Richard,Richard,Blumenthal,Blumenthal,B001277,Senator,CT
Richard,Richard,Blumenthal,Blumenthal,B001277,Senator,CT
Richard,Richard,Blumenthal,Blumenthal,B001277,Senator,CT
Lisa,Lisa,Blunt Rochester,Blunt Rochester,B001303,Senator,DE
Lisa,Lisa,Blunt Rochester,Blunt Rochester,B001303,Senator,DE
Lisa,Lisa,Blunt Rochester,Blunt Rochester,B001303,Senator,DE
Lisa,Lisa,Blunt Rochester,Blunt Rochester,B001303,Senator,DE
Lisa,Lisa,Blunt Rochester,Blunt Rochester,B001303,Senator,DE
Lauren,Lauren,Boebert,Boebert,B000825,Representative,CO
Lauren,Lauren,Boebert,Boebert,B000825,Representative,CO
Lauren,Lauren,Boebert,Boebert,B000825,Representative,CO
Lauren,Lauren,Boebert,Boebert,B000825,Representative,CO
Lauren,Lauren,Boebert,Boebert,B000825,Representative,CO
Suzanne,Suzanne,Bonamici,Bonamici,B001278,Representative,OR
Suzanne,Suzanne,Bonamici,Bonamici,B001278,Representative,OR
Suzanne,Suzanne,Bonamici,Bonamici,B001278,Representative,OR
Suzanne,Suzanne,Bonamici,Bonamici,B001278,Representative,OR
Suzanne,Suzanne,Bonamici,Bonamici,B001278,Representative,OR
Cory A.,Cory,Booker,Booker,B001288,Senator,NJ
Cory A.,Cory,Booker,Booker,B001288,Senator,NJ
Cory A.,Cory,Booker,Booker,B001288,Senator,NJ
Cory A.,Cory,Booker,Booker,B001288,Senator,NJ
Cory A.,Cory,Booker,Booker,B001288,Senator,NJ
John,John,Boozman,Boozman,B001236,Senator,AR
John,John,Boozman,Boozman,B001236,Senator,AR
John,John,Boozman,Boozman,B001236,Senator,AR
John,John,Boozman,Boozman,B001236,Senator,AR
John,John,Boozman,Boozman,B001236,Senator,AR
Mike,Mike,Bost,Bost,B001295,Representative,IL
Mike,Mike,Bost,Bost,B001295,Representative,IL
Mike,Mike,Bost,Bost,B001295,Representative,IL
Mike,Mike,Bost,Bost,B001295,Representative,IL
Mike,Mike,Bost,Bost,B001295,Representative,IL
Brendan F.,Brendan,Boyle,Boyle,B001296,Representative,PA
Brendan F.,Brendan,Boyle,Boyle,B001296,Representative,PA
Brendan F.,Brendan,Boyle,Boyle,B001296,Representative,PA
Brendan F.,Brendan,Boyle,Boyle,B001296,Representative,PA
Brendan F.,Brendan,Boyle,Boyle,B001296,Representative,PA
Josh,Josh,Brecheen,Brecheen,B001317,Representative,OK
Josh,Josh,Brecheen,Brecheen,B001317,Representative,OK
Josh,Josh,Brecheen,Brecheen,B001317,Representative,OK
Josh,Josh,Brecheen,Brecheen,B001317,Representative,OK
Josh,Josh,Brecheen,Brecheen,B001317,Representative,OK
Robert P.,Robert,Bresnahan,Bresnahan,B001327,Representative,PA
Robert P.,Robert,Bresnahan,Bresnahan,B001327,Representative,PA
Robert P.,Robert,Bresnahan,Bresnahan,B001327,Representative,PA
Robert P.,Robert,Bresnahan,Bresnahan,B001327,Representative,PA
Robert P.,Robert,Bresnahan,Bresnahan,B001327,Representative,PA
Katie Boyd,Katie,Britt,Britt,B001319,Senator,AL
Katie Boyd,Katie,Britt,Britt,B001319,Senator,AL
Katie Boyd,Katie,Britt,Britt,B001319,Senator,AL
Katie Boyd,Katie,Britt,Britt,B001319,Senator,AL
Katie Boyd,Katie,Britt,Britt,B001319,Senator,AL
Shontel M.,Shontel,Brown,Brown,B001313,Representative,OH
Shontel M.,Shontel,Brown,Brown,B001313,Representative,OH
Shontel M.,Shontel,Brown,Brown,B001313,Representative,OH
Shontel M.,Shontel,Brown,Brown,B001313,Representative,OH
Shontel M.,Shontel,Brown,Brown,B001313,Representative,OH
Julia,Julia,Brownley,Brownley,B001285,Representative,CA
Julia,Julia,Brownley,Brownley,B001285,Representative,CA
Julia,Julia,Brownley,Brownley,B001285,Representative,CA
Julia,Julia,Brownley,Brownley,B001285,Representative,CA
Julia,Julia,Brownley,Brownley,B001285,Representative,CA
Vern,Vernon,Buchanan,Buchanan,B001260,Representative,FL
Vern,Vernon,Buchanan,Buchanan,B001260,Representative,FL
Vern,Vernon,Buchanan,Buchanan,B001260,Representative,FL
Vern,Vernon,Buchanan,Buchanan,B001260,Representative,FL
Vern,Vernon,Buchanan,Buchanan,B001260,Representative,FL
Ted,Theodore,Budd,Budd,B001305,Senator,NC
Ted,Theodore,Budd,Budd,B001305,Senator,NC
Ted,Theodore,Budd,Budd,B001305,Senator,NC
Ted,Theodore,Budd,Budd,B001305,Senator,NC
Ted,Theodore,Budd,Budd,B001305,Senator,NC
Nikki,Nikki,Budzinski,Budzinski,B001315,Representative,IL
Nikki,Nikki,Budzinski,Budzinski,B001315,Representative,IL
Nikki,Nikki,Budzinski,Budzinski,B001315,Representative,IL
Nikki,Nikki,Budzinski,Budzinski,B001315,Representative,IL
Nikki,Nikki,Budzinski,Budzinski,B001315,Representative,IL
Tim,,Burchett,,,,
Tim,,Burchett,,,,
Tim,,Burchett,,,,
Tim,,Burchett,,,,
Tim,,Burchett,,,,
Eric,Eric,Burlison,Burlison,B001316,Representative,MO
Eric,Eric,Burlison,Burlison,B001316,Representative,MO
Eric,Eric,Burlison,Burlison,B001316,Representative,MO
Eric,Eric,Burlison,Burlison,B001316,Representative,MO
Eric,Eric,Burlison,Burlison,B001316,Representative,MO
Janelle S.,Janelle,Bynum,Bynum,B001326,Representative,OR
Janelle S.,Janelle,Bynum,Bynum,B001326,Representative,OR
Janelle S.,Janelle,Bynum,Bynum,B001326,Representative,OR
Janelle S.,Janelle,Bynum,Bynum,B001326,Representative,OR
Janelle S.,Janelle,Bynum,Bynum,B001326,Representative,OR
Ken,Ken,Calvert,Calvert,C000059,Representative,CA
Ken,Ken,Calvert,Calvert,C000059,Representative,CA
Ken,Ken,Calvert,Calvert,C000059,Representative,CA
Ken,Ken,Calvert,Calvert,C000059,Representative,CA
Ken,Ken,Calvert,Calvert,C000059,Representative,CA
Kat,Kat,Cammack,Cammack,C001039,Representative,FL
Kat,Kat,Cammack,Cammack,C001039,Representative,FL
Kat,Kat,Cammack,Cammack,C001039,Representative,FL
Kat,Kat,Cammack,Cammack,C001039,Representative,FL
Kat,Kat,Cammack,Cammack,C001039,Representative,FL
Maria,Maria,Cantwell,Cantwell,C000127,Senator,WA
Maria,Maria,Cantwell,Cantwell,C000127,Senator,WA
Maria,Maria,Cantwell,Cantwell,C000127,Senator,WA
Maria,Maria,Cantwell,Cantwell,C000127,Senator,WA
Maria,Maria,Cantwell,Cantwell,C000127,Senator,WA
Shelley Moore,Shelley,Capito,Capito,C001047,Senator,WV
Shelley Moore,Shelley,Capito,Capito,C001047,Senator,WV
Shelley Moore,Shelley,Capito,Capito,C001047,Senator,WV
Shelley Moore,Shelley,Capito,Capito,C001047,Senator,WV
Shelley Moore,Shelley,Capito,Capito,C001047,Senator,WV
Salud O.,Salud,Carbajal,Carbajal,C001112,Representative,CA
Salud O.,Salud,Carbajal,Carbajal,C001112,Representative,CA
Salud O.,Salud,Carbajal,Carbajal,C001112,Representative,CA
Salud O.,Salud,Carbajal,Carbajal,C001112,Representative,CA
Salud O.,Salud,Carbajal,Carbajal,C001112,Representative,CA
Mike,Mike,Carey,Carey,C001126,Representative,OH
Mike,Mike,Carey,Carey,C001126,Representative,OH
Mike,Mike,Carey,Carey,C001126,Representative,OH
Mike,Mike,Carey,Carey,C001126,Representative,OH
Mike,Mike,Carey,Carey,C001126,Representative,OH
André,Andre,Carson,Carson,C001072,Representative,IN
André,Andre,Carson,Carson,C001072,Representative,IN
André,Andre,Carson,Carson,C001072,Representative,IN
André,Andre,Carson,Carson,C001072,Representative,IN
André,Andre,Carson,Carson,C001072,Representative,IN
"Earl L. ""Buddy""",Buddy,Carter,Carter,C001103,Representative,GA
John R.,John,Carter,Carter,C001051,Representative,TX
Troy A.,Troy,Carter,Carter,C001125,Representative,LA
"Earl L. ""Buddy""",Buddy,Carter,Carter,C001103,Representative,GA
John R.,John,Carter,Carter,C001051,Representative,TX
Troy A.,Troy,Carter,Carter,C001125,Representative,LA
"Earl L. ""Buddy""",Buddy,Carter,Carter,C001103,Representative,GA
John R.,John,Carter,Carter,C001051,Representative,TX
Troy A.,Troy,Carter,Carter,C001125,Representative,LA
"Earl L. ""Buddy""",Buddy,Carter,Carter,C001103,Representative,GA
John R.,John,Carter,Carter,C001051,Representative,TX
Troy A.,Troy,Carter,Carter,C001125,Representative,LA
"Earl L. ""Buddy""",Buddy,Carter,Carter,C001103,Representative,GA
John R.,John,Carter,Carter,C001051,Representative,TX
Troy A.,Troy,Carter,Carter,C001125,Representative,LA
Greg,Greg,Casar,Casar,C001131,Representative,TX
Greg,Greg,Casar,Casar,C001131,Representative,TX
Greg,Greg,Casar,Casar,C001131,Representative,TX
Greg,Greg,Casar,Casar,C001131,Representative,TX
Greg,Greg,Casar,Casar,C001131,Representative,TX
Ed,Ed,Case,Case,C001055,Representative,HI
Ed,Ed,Case,Case,C001055,Representative,HI
Ed,Ed,Case,Case,C001055,Representative,HI
Ed,Ed,Case,Case,C001055,Representative,HI
Ed,Ed,Case,Case,C001055,Representative,HI
Bill,Bill,Cassidy,Cassidy,C001075,Senator,LA
Bill,Bill,Cassidy,Cassidy,C001075,Senator,LA
Bill,Bill,Cassidy,Cassidy,C001075,Senator,LA
Bill,Bill,Cassidy,Cassidy,C001075,Senator,LA
Bill,Bill,Cassidy,Cassidy,C001075,Senator,LA
Sean,Sean,Casten,Casten,C001117,Representative,IL
Sean,Sean,Casten,Casten,C001117,Representative,IL
Sean,Sean,Casten,Casten,C001117,Representative,IL
Sean,Sean,Casten,Casten,C001117,Representative,IL
Sean,Sean,Casten,Casten,C001117,Representative,IL
Kathy,Kathy,Castor,Castor,C001066,Representative,FL
Kathy,Kathy,Castor,Castor,C001066,Representative,FL
Kathy,Kathy,Castor,Castor,C001066,Representative,FL
Kathy,Kathy,Castor,Castor,C001066,Representative,FL
Kathy,Kathy,Castor,Castor,C001066,Representative,FL
Joaquin,Joaquin,Castro,Castro,C001091,Representative,TX
Joaquin,Joaquin,Castro,Castro,C001091,Representative,TX
Joaquin,Joaquin,Castro,Castro,C001091,Representative,TX
Joaquin,Joaquin,Castro,Castro,C001091,Representative,TX
Joaquin,Joaquin,Castro,Castro,C001091,Representative,TX
Sheila,Sheila,Cherfilus-McCormick,Cherfilus-McCormick,C001127,Representative,FL
Sheila,Sheila,Cherfilus-McCormick,Cherfilus-McCormick,C001127,Representative,FL
Sheila,Sheila,Cherfilus-McCormick,Cherfilus-McCormick,C001127,Representative,FL
Sheila,Sheila,Cherfilus-McCormick,Cherfilus-McCormick,C001127,Representative,FL
Sheila,Sheila,Cherfilus-McCormick,Cherfilus-McCormick,C001127,Representative,FL
Judy,Judy,Chu,Chu,C001080,Representative,CA
Judy,Judy,Chu,Chu,C001080,Representative,CA
Judy,Judy,Chu,Chu,C001080,Representative,CA
Judy,Judy,Chu,Chu,C001080,Representative,CA
Judy,Judy,Chu,Chu,C001080,Representative,CA
Juan,Juan,Ciscomani,Ciscomani,C001133,Representative,AZ
Juan,Juan,Ciscomani,Ciscomani,C001133,Representative,AZ
Juan,Juan,Ciscomani,Ciscomani,C001133,Representative,AZ
Juan,Juan,Ciscomani,Ciscomani,C001133,Representative,AZ
Juan,Juan,Ciscomani,Ciscomani,C001133,Representative,AZ
Gilbert Ray,,Cisneros,,,,
Gilbert Ray,,Cisneros,,,,
Gilbert Ray,,Cisneros,,,,
Gilbert Ray,,Cisneros,,,,
Gilbert Ray,,Cisneros,,,,
Katherine M.,Katherine,Clark,Clark,C001101,Representative,MA
Katherine M.,Katherine,Clark,Clark,C001101,Representative,MA
Katherine M.,Katherine,Clark,Clark,C001101,Representative,MA
Katherine M.,Katherine,Clark,Clark,C001101,Representative,MA
Katherine M.,Katherine,Clark,Clark,C001101,Representative,MA
Yvette D.,Yvette,Clarke,Clarke,C001067,Representative,NY
Yvette D.,Yvette,Clarke,Clarke,C001067,Representative,NY
Yvette D.,Yvette,Clarke,Clarke,C001067,Representative,NY
Yvette D.,Yvette,Clarke,Clarke,C001067,Representative,NY
Yvette D.,Yvette,Clarke,Clarke,C001067,Representative,NY
Emanuel,Emanuel,Cleaver,Cleaver,C001061,Representative,MO
Emanuel,Emanuel,Cleaver,Cleaver,C001061,Representative,MO
Emanuel,Emanuel,Cleaver,Cleaver,C001061,Representative,MO
Emanuel,Emanuel,Cleaver,Cleaver,C001061,Representative,MO
Emanuel,Emanuel,Cleaver,Cleaver,C001061,Representative,MO
Ben,Benjamin,Cline,Cline,C001118,Representative,VA
Ben,Benjamin,Cline,Cline,C001118,Representative,VA
Ben,Benjamin,Cline,Cline,C001118,Representative,VA
Ben,Benjamin,Cline,Cline,C001118,Representative,VA
Ben,Benjamin,Cline,Cline,C001118,Representative,VA
Michael,Michael,Cloud,Cloud,C001115,Representative,TX
Michael,Michael,Cloud,Cloud,C001115,Representative,TX
Michael,Michael,Cloud,Cloud,C001115,Representative,TX
Michael,Michael,Cloud,Cloud,C001115,Representative,TX
Michael,Michael,Cloud,Cloud,C001115,Representative,TX
James E.,James,Clyburn,Clyburn,C000537,Representative,SC
James E.,James,Clyburn,Clyburn,C000537,Representative,SC
James E.,James,Clyburn,Clyburn,C000537,Representative,SC
James E.,James,Clyburn,Clyburn,C000537,Representative,SC
James E.,James,Clyburn,Clyburn,C000537,Representative,SC
Andrew S.,Andrew,Clyde,Clyde,C001116,Representative,GA
Andrew S.,Andrew,Clyde,Clyde,C001116,Representative,GA
Andrew S.,Andrew,Clyde,Clyde,C001116,Representative,GA
Andrew S.,Andrew,Clyde,Clyde,C001116,Representative,GA
Andrew S.,Andrew,Clyde,Clyde,C001116,Representative,GA
Steve,Stephen,Cohen,Cohen,C001068,Representative,TN
Steve,Stephen,Cohen,Cohen,C001068,Representative,TN
Steve,Stephen,Cohen,Cohen,C001068,Representative,TN
Steve,Stephen,Cohen,Cohen,C001068,Representative,TN
Steve,Stephen,Cohen,Cohen,C001068,Representative,TN
Tom,Tom,Cole,Cole,C001053,Representative,OK
Tom,Tom,Cole,Cole,C001053,Representative,OK
Tom,Tom,Cole,Cole,C001053,Representative,OK
Tom,Tom,Cole,Cole,C001053,Representative,OK
Tom,Tom,Cole,Cole,C001053,Representative,OK
Mike,Mike,Collins,Collins,C001129,Representative,GA
Susan M.,Susan,Collins,Collins,C001035,Senator,ME
Mike,Mike,Collins,Collins,C001129,Representative,GA
Susan M.,Susan,Collins,Collins,C001035,Senator,ME
Mike,Mike,Collins,Collins,C001129,Representative,GA
Susan M.,Susan,Collins,Collins,C001035,Senator,ME
Mike,Mike,Collins,Collins,C001129,Representative,GA
Susan M.,Susan,Collins,Collins,C001035,Senator,ME
Mike,Mike,Collins,Collins,C001129,Representative,GA
Susan M.,Susan,Collins,Collins,C001035,Senator,ME
James,James,Comer,Comer,C001108,Representative,KY
James,James,Comer,Comer,C001108,Representative,KY
James,James,Comer,Comer,C001108,Representative,KY
James,James,Comer,Comer,C001108,Representative,KY
James,James,Comer,Comer,C001108,Representative,KY
Herbert C.,Herbert,Conaway,Conaway,C001136,Representative,NJ
Herbert C.,Herbert,Conaway,Conaway,C001136,Representative,NJ
Herbert C.,Herbert,Conaway,Conaway,C001136,Representative,NJ
Herbert C.,Herbert,Conaway,Conaway,C001136,Representative,NJ
Herbert C.,Herbert,Conaway,Conaway,C001136,Representative,NJ
Gerald E.,Gerald,Connolly,Connolly,C001078,Representative,VA
Gerald E.,Gerald,Connolly,Connolly,C001078,Representative,VA
Gerald E.,Gerald,Connolly,Connolly,C001078,Representative,VA
Gerald E.,Gerald,Connolly,Connolly,C001078,Representative,VA
Gerald E.,Gerald,Connolly,Connolly,C001078,Representative,VA
Christopher A.,Christopher,Coons,Coons,C001088,Senator,DE
Christopher A.,Christopher,Coons,Coons,C001088,Senator,DE
Christopher A.,Christopher,Coons,Coons,C001088,Senator,DE
Christopher A.,Christopher,Coons,Coons,C001088,Senator,DE
Christopher A.,Christopher,Coons,Coons,C001088,Senator,DE
John,John,Cornyn,Cornyn,C001056,Senator,TX
John,John,Cornyn,Cornyn,C001056,Senator,TX
John,John,Cornyn,Cornyn,C001056,Senator,TX
