first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3
Mark E.,Amodei,mark-e-amodei,,,,,,,,,,,,,
Mark E.,Amodei,mark-e-amodei,,,,,,,,,,,,,
Mark E.,Amodei,mark-e-amodei,,,,,,,,,,,,,
Mark E.,Amodei,mark-e-amodei,,,,,,,,,,,,,
Mark E.,Amodei,mark-e-amodei,,,,,,,,,,,,,
Yassamin,Ansari,yassamin-ansari,,,,,,,,,,,,,
Yassamin,Ansari,yassamin-ansari,,,,,,,,,,,,,
Yassamin,Ansari,yassamin-ansari,,,,,,,,,,,,,
Yassamin,Ansari,yassamin-ansari,,,,,,,,,,,,,
Yassamin,Ansari,yassamin-ansari,,,,,,,,,,,,,
Jodey C.,Arrington,jodey-c-arrington,,,,,,,,,,,,,
Jodey C.,Arrington,jodey-c-arrington,,,,,,,,,,,,,
Jodey C.,Arrington,jodey-c-arrington,,,,,,,,,,,,,
Jodey C.,Arrington,jodey-c-arrington,,,,,,,,,,,,,
Jodey C.,Arrington,jodey-c-arrington,,,,,,,,,,,,,
Jake,Auchincloss,jake-auchincloss,https://www.opensecrets.org/members-of-congress/jake-auchincloss/summary?cid=N00045506,,,,,,,,,,,,
Jake,Auchincloss,jake-auchincloss,https://www.opensecrets.org/members-of-congress/jake-auchincloss/summary?cid=N00045506,,,,,,,,,,,,
Jake,Auchincloss,jake-auchincloss,https://www.opensecrets.org/members-of-congress/jake-auchincloss/summary?cid=N00045506,,,,,,,,,,,,
Jake,Auchincloss,jake-auchincloss,https://www.opensecrets.org/members-of-congress/jake-auchincloss/summary?cid=N00045506,,,,,,,,,,,,
Jake,Auchincloss,jake-auchincloss,https://www.opensecrets.org/members-of-congress/jake-auchincloss/summary?cid=N00045506,,,,,,,,,,,,
Brian,Babin,brian-babin,https://www.opensecrets.org/members-of-congress/brian-babin/summary?cid=N00005736,,,,,,,,,,,,
Brian,Babin,brian-babin,https://www.opensecrets.org/members-of-congress/brian-babin/summary?cid=N00005736,,,,,,,,,,,,
Brian,Babin,brian-babin,https://www.opensecrets.org/members-of-congress/brian-babin/summary?cid=N00005736,,,,,,,,,,,,
Brian,Babin,brian-babin,https://www.opensecrets.org/members-of-congress/brian-babin/summary?cid=N00005736,,,,,,,,,,,,
Brian,Babin,brian-babin,https://www.opensecrets.org/members-of-congress/brian-babin/summary?cid=N00005736,,,,,,,,,,,,
Don,Bacon,don-bacon,,,,,,,,,,,,,
Don,Bacon,don-bacon,,,,,,,,,,,,,
Don,Bacon,don-bacon,,,,,,,,,,,,,
Don,Bacon,don-bacon,,,,,,,,,,,,,
Don,Bacon,don-bacon,,,,,,,,,,,,,
James R.,Baird,james-r-baird,,,,,,,,,,,,,
James R.,Baird,james-r-baird,,,,,,,,,,,,,
James R.,Baird,james-r-baird,,,,,,,,,,,,,
James R.,Baird,james-r-baird,,,,,,,,,,,,,
James R.,Baird,james-r-baird,,,,,,,,,,,,,
Troy,Balderson,troy-balderson,https://www.opensecrets.org/members-of-congress/troy-balderson/summary?cid=N00042194,,,,,,,,,,,,
Troy,Balderson,troy-balderson,https://www.opensecrets.org/members-of-congress/troy-balderson/summary?cid=N00042194,,,,,,,,,,,,
Troy,Balderson,troy-balderson,https://www.opensecrets.org/members-of-congress/troy-balderson/summary?cid=N00042194,,,,,,,,,,,,
Troy,Balderson,troy-balderson,https://www.opensecrets.org/members-of-congress/troy-balderson/summary?cid=N00042194,,,,,,,,,,,,
Troy,Balderson,troy-balderson,https://www.opensecrets.org/members-of-congress/troy-balderson/summary?cid=N00042194,,,,,,,,,,,,
Tammy,Baldwin,tammy-baldwin,,,,,,,,,,,,,
Tammy,Baldwin,tammy-baldwin,,,,,,,,,,,,,
Tammy,Baldwin,tammy-baldwin,,,,,,,,,,,,,
Tammy,Baldwin,tammy-baldwin,,,,,,,,,,,,,
Tammy,Baldwin,tammy-baldwin,,,,,,,,,,,,,
Becca,Balint,becca-balint,https://www.opensecrets.org/members-of-congress/becca-balint/summary?cid=N00049900,,,,,,,,,,,,
Becca,Balint,becca-balint,https://www.opensecrets.org/members-of-congress/becca-balint/summary?cid=N00049900,,,,,,,,,,,,
Becca,Balint,becca-balint,https://www.opensecrets.org/members-of-congress/becca-balint/summary?cid=N00049900,,,,,,,,,,,,
Becca,Balint,becca-balint,https://www.opensecrets.org/members-of-congress/becca-balint/summary?cid=N00049900,,,,,,,,,,,,
Becca,Balint,becca-balint,https://www.opensecrets.org/members-of-congress/becca-balint/summary?cid=N00049900,,,,,,,,,,,,
Jim,Banks,jim-banks,https://www.opensecrets.org/members-of-congress/jim-banks/summary?cid=N00037185,,,,,,,,,,,,
