first_name,last_name,committee,subcommittee
John,Boozman,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
John,Boozman,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
John,Boozman,Committee on Rules and Administration,
John,Boozman,Committee on Veterans' Affairs,
Mike,Bost,Agriculture,
Mike,Bost,Transportation and Infrastructure,
Mike,Bost,Veterans' Affairs,
Brendan,Boyle,Budget,
Brendan,Boyle,Ways and Means,
Josh,Brecheen,Budget,
Josh,Brecheen,Homeland Security,
Robert,Bresnahan,Agriculture,
Robert,Bresnahan,Small Business,
Robert,Bresnahan,Transportation and Infrastructure,
Katie,Britt,Commission on Security and Cooperation in Europe,
Katie,Britt,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies"
Katie,Britt,Committee on Appropriations,Subcommittee on Department of Homeland Security
Katie,Britt,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies"
Katie,Britt,Committee on Appropriations,Subcommittee on Energy and Water Development
Katie,Britt,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs"
Katie,Britt,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies"
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Katie,Britt,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Katie,Britt,Committee on Rules and Administration,
Katie,Britt,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights"
Katie,Britt,Committee on the Judiciary,Subcommittee on Border Security and Immigration
Katie,Britt,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
Katie,Britt,Committee on the Judiciary,Subcommittee on Intellectual Property
Shontel,Brown,Agriculture,
Shontel,Brown,Oversight and Government Reform,
Shontel,Brown,Select Comm on the Strategic Competition US and China,
Julia,Brownley,Natural Resources,
Julia,Brownley,Transportation and Infrastructure,
Julia,Brownley,Veterans' Affairs,
Vern,Buchanan,Joint Committee on Taxation,
Vern,Buchanan,Ways and Means,
Ted,Budd,Committee on Armed Services,Subcommittee on Airland
Ted,Budd,Committee on Armed Services,Subcommittee on Cybersecurity
Ted,Budd,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities
Ted,Budd,Committee on Armed Services,Subcommittee on Personnel
Ted,Budd,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation, Space, and Innovation"
