first_name,last_name,slug_name,slug_url,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,Top Contributor 1,amount 1,Top Contributor 2,amount 2,Top Contributor 3,amount 3,Top Industry 1,industry amount 1,Top Industry 2,industry amount 2,Top Industry 3,industry amount 3,top_contributors,top_industries
Aaron,Bean,aaron-bean,https://www.opensecrets.org/members-of-congress/aaron-bean/summary?cid=N00051369,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($20,374); Republican Main Street Partnership ($12,000); Alkermes Inc ($11,000); Blackstone Group ($10,500); Allied Pilots Assn ($10,000)","Lobbyists ($97,750); Retired ($96,229); Real Estate ($79,452); Leadership PACs ($79,000); Health Professionals ($78,000)"
Joyce,Beatty,joyce-beatty,https://www.opensecrets.org/members-of-congress/joyce-beatty/summary?cid=N00033904,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($45,050); National Assn of Realtors ($35,500); Service Employees International Union ($20,000); Ohio State University ($18,830); Nationwide ($17,550)","Insurance ($201,720); Commercial Banks ($152,530); Securities & Investment ($143,735); Real Estate ($133,200); Lawyers/Law Firms ($66,750)"
Nicholas J.,Begich,nicholas-j-begich,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesley,Bell,wesley-bell,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael F.,Bennet,michael-f-bennet,https://www.opensecrets.org/members-of-congress/bennet-michael/summary?cid=N00030608&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($116,850); Blackstone Group ($77,000); Paul, Weiss et al ($58,300); State of Colorado ($53,331); University of Colorado ($52,396)","Retired ($2,964,415); Securities & Investment ($1,984,576); Lawyers/Law Firms ($1,486,560); Real Estate ($867,473); Education ($607,520)"
Cliff,Bentz,cliff-bentz,https://www.opensecrets.org/members-of-congress/cliff-bentz/summary?cid=N00045773,,,,,,,,,,,,,,,,,,,,,,,,,"Republican Main Street Partnership ($13,000); Bright Wood ($12,800); Murphy Forest Products ($12,000); National Assn of Broadcasters ($12,000); National Assn of Realtors ($11,000)","Retired ($62,240); Forestry & Forest Products ($58,640); Livestock ($48,400); Casinos/Gambling ($44,900); Electric Utilities ($44,500)"
Ami,Bera,ami-bera,https://www.opensecrets.org/members-of-congress/ami-bera/summary?cid=N00030717,,,,,,,,,,,,,,,,,,,,,,,,,"American Israel Public Affairs Cmte ($34,069); Kleiner, Perkins et al ($26,400); Cornerstone Government Affairs ($11,000); Home Depot ($10,008); Abbott Laboratories ($10,000)","Health Professionals ($262,279); Pharmaceuticals/Health Products ($87,896); Retired ($58,611); Securities & Investment ($49,416); Lobbyists ($43,750)"
Jack,Bergman,jack-bergman,https://www.opensecrets.org/members-of-congress/bergman-john/summary?cid=N00039533&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"MIT45 Inc ($31,800); American Israel Public Affairs Cmte ($27,250); Oracle Corp ($21,600); Veterans Guardian VA Claim Consulting ($16,200); Netjets Assn of Shared Aircraft Pilots ($15,000)","Retired ($185,693); Republican/Conservative ($94,956); Leadership PACs ($76,300); Defense Aerospace ($72,750); Health Professionals ($69,207)"
Donald S.,Beyer,donald-s-beyer,https://www.opensecrets.org/members-of-congress/beyer-don/summary?cid=N00036018&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Akin, Gump et al ($16,500); Freedom Capital Partners ($13,200); Kitebrook Partners ($13,200); NVR Inc ($13,200); Deloitte LLP ($11,345)","Retired ($188,586); Lawyers/Law Firms ($151,549); Real Estate ($130,003); Securities & Investment ($118,100); Automotive ($65,731)"
Stephanie I.,Bice,stephanie-i-bice,https://www.opensecrets.org/members-of-congress/bice-stephanie/summary?cid=N00044579&cycle=2024,,,,,,,,,,,,,,,,,,,,,,,,,"Devon Energy ($21,500); American Israel Public Affairs Cmte ($20,074); Aviation Training Consulting LLC ($19,100); Keller Williams Realty ($13,535); Fisher Investments ($13,200)","Oil & Gas ($168,192); Retired ($151,431); Real Estate ($133,650); Leadership PACs ($75,500); Securities & Investment ($72,623)"
