rank,original,first_name,last_name,info,minimum_net_worth,net_worth,maximum_net_worth,chamber
319,Terri A Sewell (D-Ala),Terri,Sewell,D-Ala,145013,330006,515000,House
320,Matt Gaetz (R-Fla),Matt,Gaetz,R-Fla,104013,312006,519999,House
321,John Thune (R-SD),John,Thune,R-SD,51025,310512,569999,Senate
322,Martin Heinrich (D-NM),Martin,Heinrich,D-NM,-361964,309017,979998,Senate
323,Kirsten Gillibrand (D-NY),Kirsten,Gillibrand,D-NY,162008,296004,430000,Senate
324,Steven A. King (R-Iowa),Steven,King,R-Iowa,140014,295007,450000,House
325,Brendan Boyle (D-Pa),Brendan,Boyle,D-Pa,-169994,295001,759996,House
326,Jim Jordan (R-Ohio),Jim,Jordan,R-Ohio,147007,289003,431000,House
327,Joseph D Morelle (D-NY),Joseph,Morelle,D-NY,98024,285512,473000,House
328,Tim Walberg (R-Mich),Tim,Walberg,R-Mich,101017,283008,465000,House
329,Elise Stefanik (R-NY),Elise,Stefanik,R-NY,-71983,282007,635998,House
330,Ben Ray Lujan (D-NM),Ben,Ray Lujan,D-NM,153005,274002,395000,House
331,Debbie Wasserman Schultz (D-Fla),Debbie,Wasserman Schultz,D-Fla,-240956,270521,781998,House
332,Jimmy Gomez (D-Calif),Jimmy,Gomez,D-Calif,75013,267506,459999,House
333,Mike Bost (R-Ill),Mike,Bost,R-Ill,-37990,264004,565998,House
334,Jimmy Panetta (D-Calif),Jimmy,Panetta,D-Calif,30036,263517,496999,House
335,Sherrod Brown (D-Ohio),Sherrod,Brown,D-Ohio,-163988,263005,689998,Senate
336,Barbara Lee (D-Calif),Barbara,Lee,D-Calif,154008,257504,361000,House
337,Raul M Grijalva (D-Ariz),Raul,Grijalva,D-Ariz,70021,235010,400000,House
338,Robin Kelly (D-Ill),Robin,Kelly,D-Ill,132006,231003,330000,House
339,Rob Woodall (R-Ga),Rob,Woodall,R-Ga,106007,223003,340000,House
340,Kevin McCarthy (R-Calif),Kevin,McCarthy,R-Calif,81006,223002,364999,House
341,Devin Nunes (R-Calif),Devin,Nunes,R-Calif,131005,223002,315000,House
342,Mark Takano (D-Calif),Mark,Takano,D-Calif,116005,216502,317000,House
343,Pramila Jayapal (D-Wash),Pramila,Jayapal,D-Wash,-816963,214017,1244998,House
344,Chris Smith (R-NJ),Chris,Smith,R-NJ,212012,212012,212012,House
345,Michael Cloud (R-Texas),Michael,Cloud,R-Texas,89012,212006,335000,House
346,Yvette D Clarke (D-NY),Yvette,Clarke,D-NY,115002,207501,300000,House
347,Mark Desaulnier (D-Calif),Mark,Desaulnier,D-Calif,103004,199002,295000,House
348,Patrick Meehan (R-Pa),Patrick,Meehan,R-Pa,55015,198007,341000,House
349,Gregorio Sablan (D-NMI),Gregorio,Sablan,D-NMI,98007,196503,295000,House
350,Amata Coleman Radewagen (R-AS),Amata,Coleman Radewagen,R-AS,46018,193009,340000,House
351,James E Clyburn (D-SC),James,E Clyburn,D-SC,97008,189504,282000,House
352,Anthony Brown (D-Md),Anthony,Brown,D-Md,97006,188503,280000,House
353,Jerry McNerney (D-Calif),Jerry,McNerney,D-Calif,101003,183501,266000,House
354,Richard E Neal (D-Mass),Richard,E Neal,D-Mass,77010,180005,283000,House
355,Kay Granger (R-Texas),Kay,Granger,R-Texas,-184995,157502,499999,House
356,Marcy Kaptur (D-Ohio),Marcy,Kaptur,D-Ohio,-110985,155006,420998,House
357,Sanford Bishop (D-Ga),Sanford,Bishop,D-Ga,87004,153502,220000,House
358,Scott Desjarlais (R-Tenn),Scott,Desjarlais,R-Tenn,-118987,153005,424998,House
359,Alex Mooney (R-WVa),Alex,Mooney,R-WVa,39011,137005,235000,House
360,Richard Hudson (R-NC),Richard,Hudson,R-NC,14017,133008,252000,House
361,Jerrold Nadler (D-NY),Jerrold,Nadler,D-NY,32006,121003,210000,House
362,Pete Aguilar (D-Calif),Pete,Aguilar,D-Calif,34008,117504,201000,House
363,James Lankford (R-Okla),James,Lankford,R-Okla,-159980,116509,392999,Senate
364,Donald M Payne Jr. (D-NJ),Donald,M Payne Jr.,D-NJ,66005,116502,167000,House
365,Jack Reed (D-RI),Jack,Reed,D-RI,-561945,107026,775998,Senate
366,Jody Hice (R-Ga),Jody,Hice,R-Ga,32005,101002,170000,House
367,Conor Lamb (D-Pa),Conor,Lamb,D-Pa,1,100000,199999,House
368,Jeff Fortenberry (R-Neb),Jeff,Fortenberry,R-Neb,-4150991,97003,4344997,House
369,Gus Bilirakis (R-Fla),Gus,Bilirakis,R-Fla,-273965,96016,465998,House
370,Mario Diaz-Balart (R-Fla),Mario,Diaz-Balart,R-Fla,21009,81504,142000,House
371,Albio Sires (D-NJ),Albio,Sires,D-NJ,32004,81002,130000,House
372,Salud Carbajal (D-Calif),Salud,Carbajal,D-Calif,-37994,81002,199998,House
373,Steny H Hoyer (D-Md),Steny,H Hoyer,D-Md,50003,76001,102000,House
374,Jose E Serrano (D-NY),Jose,E Serrano,D-NY,50001,75000,100000,House
375,Will Hurd (R-Texas),Will,Hurd,R-Texas,9009,72004,135000,House
376,Kathleen Rice (D-NY),Kathleen,Rice,D-NY,-15994,64502,144999,House
377,Brian M Higgins (D-NY),Brian,M Higgins,D-NY,8008,64004,120000,House
378,Mike Quigley (D-Ill),Mike,Quigley,D-Ill,35001,62500,90000,House
379,Ron DeSantis (R-Fla),Ron,DeSantis,R-Fla,-11996,54001,119999,House
380,Troy Balderson (R-Ohio),Troy,Balderson,R-Ohio,17003,48501,80000,House
381,Steve Scalise (R-La),Steve,Scalise,R-La,1,42500,84999,House
382,Norma Torres (D-Calif),Norma,Torres,D-Calif,-233995,41502,316999,House
383,Barry Loudermilk (R-Ga),Barry,Loudermilk,R-Ga,16002,40501,65000,House
384,Rob Bishop (R-Utah),Rob,Bishop,R-Utah,16002,40501,65000,House
385,Tom McClintock (R-Calif),Tom,McClintock,R-Calif,16002,40501,65000,House
386,Sean P Duffy (R-Wis),Sean,Duffy,R-Wis,-290990,39504,369998,House
387,Tulsi Gabbard (D-Hawaii),Tulsi,Gabbard,D-Hawaii,-508992,36003,580999,House
388,Tom Emmer (R-Minn),Tom,Emmer,R-Minn,-134998,32500,199999,House
389,Louis B Gohmert Jr. (R-Texas),Louis,Gohmert Jr.,R-Texas,15001,32500,50000,House
390,Debbie Stabenow (D-Mich),Debbie,Stabenow,D-Mich,15001,32500,50000,Senate
391,Betty McCollum (D-Minn),Betty,McCollum,D-Minn,4004,32002,60000,House
392,John Lewis (D-Ga),John,Lewis,D-Ga,1005,10002,19000,House
393,Paul Tonko (D-NY),Paul,Tonko,D-NY,1001,8000,15000,House
394,Jaime Herrera Beutler (R-Wash),Jaime,Herrera Beutler,R-Wash,1001,8000,15000,House
395,Adriano Espaillat (D-NY),Adriano,Espaillat,D-NY,1001,8000,15000,House
396,Clay Higgins (R-La),Clay,Higgins,R-La,0,0,0,House
397,Rick Crawford (R-Ark),Rick,Crawford,R-Ark,0,0,0,House
398,Gwen Moore (D-Wis),Gwen,Moore,D-Wis,0,0,0,House
399,Amy Klobuchar (D-Minn),Amy,Klobuchar,D-Minn,0,0,0,Senate
400,Lee Zeldin (R-NY),Lee,Zeldin,R-NY,0,0,0,House
401,Gregory W Meeks (D-NY),Gregory,W Meeks,D-NY,0,0,0,House
402,Tim Ryan (D-Ohio),Tim,Ryan,D-Ohio,-164991,-1997,160997,House
403,Jason Smith (R-Mo),Jason,Smith,R-Mo,-1786970,-5490,1775990,House
404,Duncan D. Hunter (R-Calif),Duncan,Hunter,R-Calif,-15000,-12500,-10000,House
405,Andre Carson (D-Ind),Andre,Carson,D-Ind,-48999,-24500,-1,House
406,Eliot L Engel (D-NY),Eliot,Engel,D-NY,-182995,-31498,119999,House
407,Mike Johnson (R-La),Mike,Johnson,R-La,-50000,-32500,-15001,House
408,Eric Swalwell (D-Calif),Eric,Swalwell,D-Calif,-113998,-37000,39998,House
409,Tony Cardenas (D-Calif),Tony,Cardenas,D-Calif,-299991,-47499,204992,House
410,John Katko (R-NY),John,Katko,R-NY,-98999,-67000,-35001,House
411,Jenniffer Gonzalez (3-PR),Jenniffer,Gonzalez,3-PR,-100000,-75000,-50001,House
412,Marc Veasey (D-Texas),Marc,Veasey,D-Texas,-194993,-79498,35997,House
413,Patrick Leahy (D-Vt),Patrick,Leahy,D-Vt,-330992,-85496,159999,Senate
414,Stacey Plaskett (D-VI),Stacey,Plaskett,D-VI,-115000,-87500,-60001,House
415,Hank Johnson (D-Ga),Hank,Johnson,D-Ga,-219998,-109999,-1,House
416,Mark Walker (R-NC),Mark,Walker,R-NC,-165000,-110001,-55003,House
417,Brian Fitzpatrick (R-Pa),Brian,Fitzpatrick,R-Pa,-678998,-124500,429997,House
418,Trent Kelly (R-Miss),Trent,Kelly,R-Miss,-200000,-140001,-80003,House
419,Christopher S Murphy (D-Conn),Christopher,Murphy,D-Conn,-1069978,-149991,769996,Senate
420,Roger Wicker (R-Miss),Roger,Wicker,R-Miss,-788986,-180995,426995,Senate
421,Sheila Jackson Lee (D-Texas),Sheila,Jackson Lee,D-Texas,-681993,-181001,319991,House
422,Joni Ernst (R-Iowa),Joni,Ernst,R-Iowa,-783966,-196984,389998,Senate
423,Doug Collins (R-Ga),Doug,Collins,R-Ga,-747988,-246494,254999,House
424,Brian Schatz (D-Hawaii),Brian,Schatz,D-Hawaii,-1242983,-554493,133997,Senate
425,Tim Scott (R-SC),Tim,Scott,R-SC,-1862988,-1053997,-245007,Senate
426,Jim Langevin (D-RI),Jim,Langevin,D-RI,-3812969,-1078494,1655980,House
427,Bill Cassidy (R-La),Bill,Cassidy,R-La,-3001937,-1115970,769996,Senate
428,Marco Rubio (R-Fla),Marco,Rubio,R-Fla,-1896988,-1262995,-629002,Senate
429,Todd Young (R-Ind),Todd,Young,R-Ind,-1995994,-1392999,-790005,Senate
430,Bobby L Rush (D-Ill),Bobby,Rush,D-Ill,-4499999,-2250000,-1,House
431,Emanuel Cleaver (D-Mo),Emanuel,Cleaver,D-Mo,-4623988,-2266995,89998,House
432,Alcee L Hastings (D-Fla),Alcee,Hastings,D-Fla,-12097998,-7549002,-3000006,House
