name_map_first,name_map_last,name_map_middle,name_map_nick,want_state,matched,score,matched_target_key,matched_index_key,bioguide_id_transferred
Joyce,Beatty,,,Ohio,yes,100,joyce beatty,joyce beatty,B001281
Joyce,Beatty,,,Ohio,yes,100,joyce beatty,joyce beatty,B001281
Joyce,Beatty,,,Ohio,yes,100,joyce beatty,joyce beatty,B001281
Joyce,Beatty,,,Ohio,yes,100,joyce beatty,joyce beatty,B001281
Joyce,Beatty,,,Ohio,yes,100,joyce beatty,joyce beatty,B001281
Nicholas J.,Begich,,,Alaska,yes,100,nicholas j  begich,nicholas j  begich,B001323
Nicholas J.,Begich,,,Alaska,yes,100,nicholas j  begich,nicholas j  begich,B001323
Nicholas J.,Begich,,,Alaska,yes,100,nicholas j  begich,nicholas j  begich,B001323
Nicholas J.,Begich,,,Alaska,yes,100,nicholas j  begich,nicholas j  begich,B001323
Nicholas J.,Begich,,,Alaska,yes,100,nicholas j  begich,nicholas j  begich,B001323
Wesley,Bell,,,Missouri,yes,100,wesley bell,wesley bell,B001324
Wesley,Bell,,,Missouri,yes,100,wesley bell,wesley bell,B001324
Wesley,Bell,,,Missouri,yes,100,wesley bell,wesley bell,B001324
Wesley,Bell,,,Missouri,yes,100,wesley bell,wesley bell,B001324
Wesley,Bell,,,Missouri,yes,100,wesley bell,wesley bell,B001324
Michael F.,Bennet,,,Colorado,yes,100,michael f  bennet,michael f  bennet,B001267
Michael F.,Bennet,,,Colorado,yes,100,michael f  bennet,michael f  bennet,B001267
Michael F.,Bennet,,,Colorado,yes,100,michael f  bennet,michael f  bennet,B001267
Michael F.,Bennet,,,Colorado,yes,100,michael f  bennet,michael f  bennet,B001267
Michael F.,Bennet,,,Colorado,yes,100,michael f  bennet,michael f  bennet,B001267
Cliff,Bentz,,,Oregon,yes,100,cliff bentz,cliff bentz,B000668
Cliff,Bentz,,,Oregon,yes,100,cliff bentz,cliff bentz,B000668
Cliff,Bentz,,,Oregon,yes,100,cliff bentz,cliff bentz,B000668
Cliff,Bentz,,,Oregon,yes,100,cliff bentz,cliff bentz,B000668
Cliff,Bentz,,,Oregon,yes,100,cliff bentz,cliff bentz,B000668
Ami,Bera,,,California,yes,100,ami bera,ami bera,B001287
Ami,Bera,,,California,yes,100,ami bera,ami bera,B001287
Ami,Bera,,,California,yes,100,ami bera,ami bera,B001287
Ami,Bera,,,California,yes,100,ami bera,ami bera,B001287
Ami,Bera,,,California,yes,100,ami bera,ami bera,B001287
Jack,Bergman,,,Michigan,no,0,,,
Jack,Bergman,,,Michigan,no,0,,,
Jack,Bergman,,,Michigan,no,0,,,
Jack,Bergman,,,Michigan,no,0,,,
Jack,Bergman,,,Michigan,no,0,,,
Donald S.,Beyer,,,Virginia,yes,100,donald s  beyer,donald beyer,B001292
Donald S.,Beyer,,,Virginia,yes,100,donald s  beyer,donald beyer,B001292
Donald S.,Beyer,,,Virginia,yes,100,donald s  beyer,donald beyer,B001292
Donald S.,Beyer,,,Virginia,yes,100,donald s  beyer,donald beyer,B001292
