first_name,last_name,current_net_worth,normalized_net_worth
Lucy,McBath,$1.59M,"$1,590,000"
Sam,Graves,$1.59M,"$1,590,000"
Gary,Palmer,$1.59M,"$1,590,000"
Morgan,McGarvey,$1.57M,"$1,570,000"
Josh,Riley,$1.57M,"$1,570,000"
Pramila,Jayapal,$1.56M,"$1,560,000"
Linda,Sánchez,$1.56M,"$1,560,000"
Jared,Huffman,$1.54M,"$1,540,000"
Scott,Perry,$1.51M,"$1,510,000"
John,Cornyn,$1.50M,"$1,500,000"
Dwight,Evans,$1.49M,"$1,490,000"
Lindsey,Graham,$1.47M,"$1,470,000"
Michael,Baumgartner,$1.45M,"$1,450,000"
Raphael,Warnock,$1.45M,"$1,450,000"
Mike,Kennedy,$1.45M,"$1,450,000"
Zachary,Nunn,$1.40M,"$1,400,000"
Elijah,Crane,$1.40M,"$1,400,000"
Chip,Roy,$1.34M,"$1,340,000"
Claudia,Tenney,$1.34M,"$1,340,000"
Kristen,Rivet,$1.34M,"$1,340,000"
Tammy,Duckworth,$1.33M,"$1,330,000"
Brendan,Boyle,$1.33M,"$1,330,000"
Mark,Pocan,$1.33M,"$1,330,000"
Dan,Crenshaw,$1.32M,"$1,320,000"
Jimmy,Gomez,$1.32M,"$1,320,000"
Cindy,Hyde-Smith,$1.31M,"$1,310,000"
Laura,Gillen,$1.30M,"$1,300,000"
Glenn,Ivey,$1.29M,"$1,290,000"
Rick,Larsen,$1.29M,"$1,290,000"
Michael,Simpson,$1.29M,"$1,290,000"
Richard,McCormick,$1.28M,"$1,280,000"
Mike,Carey,$1.27M,"$1,270,000"
Daniel,Webster,$1.25M,"$1,250,000"
Henry,Cuellar,$1.23M,"$1,230,000"
John,McGuire,$1.20M,"$1,200,000"
Robert,Menendez,$1.19M,"$1,190,000"
Bernard,Sanders,$1.15M,"$1,150,000"
John,Rutherford,$1.15M,"$1,150,000"
Nellie,Pou,$1.14M,"$1,140,000"
Marsha,Blackburn,$1.14M,"$1,140,000"
Erin,Houchin,$1.13M,"$1,130,000"
Kirsten,Gillibrand,$1.13M,"$1,130,000"
Monica,Cruz,$1.12M,"$1,120,000"
Cory,Booker,$1.12M,"$1,120,000"
Kevin,Mullin,$1.12M,"$1,120,000"
Laura,Friedman,$1.11M,"$1,110,000"
Kweisi,Mfume,$1.10M,"$1,100,000"
Bruce,Westerman,$1.09M,"$1,090,000"
Brian,Jack,$1.09M,"$1,090,000"
Marcy,Kaptur,$1.07M,"$1,070,000"
Stephen,Lynch,$1.06M,"$1,060,000"
Eric,Burlison,$1.03M,"$1,030,000"
Jack,Bergman,$1.01M,"$1,010,000"
Eric,Schmitt,$1.00M,"$1,000,000"
Salud,Carbajal,$973.50K,"$973,500"
Adam,Gray,$965.50K,"$965,500"
Marie,Perez,$965.00K,"$965,000"
Nikki,Budzinski,$952.00K,"$952,000"
David,Rouzer,$935.21K,"$935,210"
Tammy,Baldwin,$933.00K,"$933,000"
Brian,Mast,$925.50K,"$925,500"
Christopher,Murphy,$904.00K,"$904,000"
Kevin,Cramer,$896.00K,"$896,000"
Ron,Estes,$858.35K,"$858,350"
Brittany,Pettersen,$855.00K,"$855,000"
Randy,Sr.,$852.50K,"$852,500"
Darren,Soto,$833.00K,"$833,000"
