first_name,last_name,current_net_worth,normalized_net_worth,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
Tina,Smith,$5.97M,"$5,970,000",https://www.opensecrets.org/members-of-congress/smith-tina/summary?cid=N00042353&cycle=2024,"University of Minnesota ($168,881); EMILY's List ($154,462); Signature Bank ($67,650); State of Minnesota ($59,322); Mayo Clinic ($53,157)","Retired ($2,240,367); Democratic/Liberal ($1,056,457); Securities & Investment ($897,475); Lawyers/Law Firms ($859,545); Women's Issues ($853,814)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Margaret,Hassan,$5.92M,"$5,920,000",https://www.opensecrets.org/members-of-congress/hassan-maggie/summary?cid=N00038397&cycle=2024,"Emily's List ($469,489); JStreetPAC ($153,907); Google Inc ($94,138); Harvard University ($80,730); American Israel Public Affairs Cmte ($77,650)","Retired ($6,766,979); Securities & Investment ($2,353,435); Lawyers/Law Firms ($2,310,423); Education ($1,368,143); Women's Issues ($1,245,552)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Al,Green,$5.90M,"$5,900,000",https://www.opensecrets.org/members-of-congress/al-green/summary?cid=N00026686,"International Longshoremens Assn ($10,000); Machinists/Aerospace Workers Union ($10,000); National Assn of Real Estate Investment Trusts ($10,000); Asia Chemical Corp ($7,500); National Multifamily Housing Council ($7,500)","Real Estate ($65,700); Industrial Unions ($25,000); Health Professionals ($15,566); Building Trade Unions ($15,000); Transportation Unions ($13,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Tim,Scott,$5.78M,"$5,780,000",https://www.opensecrets.org/members-of-congress/tim-scott/summary?cid=N00031782,"Goldman Sachs ($175,028); Johnson Development Assoc ($88,181); Penn Mutual Life Insurance ($84,150); Capital Group ($82,705); Blackstone Group ($80,800)","Retired ($18,795,448); Securities & Investment ($3,113,491); Republican/Conservative ($2,699,435); Real Estate ($2,673,212); Lawyers/Law Firms ($1,138,085)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Tommy,Tuberville,$5.75M,"$5,750,000",https://www.opensecrets.org/members-of-congress/tuberville-tommy/summary?cid=N00044434&cycle=2024,"Beasley, Allen et al ($79,400); Hometown Lenders ($76,300); Club for Growth ($67,896); Drummond Co ($54,500); Radiance Technologies ($52,780)","Retired ($1,178,553); Republican/Conservative ($831,428); Real Estate ($732,323); Securities & Investment ($446,454); Lawyers/Law Firms ($300,083)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Zoe,Lofgren,$5.69M,"$5,690,000",https://www.opensecrets.org/members-of-congress/zoe-lofgren/summary?cid=N00007479,"Google Inc ($69,355); Fragomen, Del Rey et al ($50,695); Berry, Appleman & Leiden ($38,041); Cisco Systems ($35,115); Apple Inc ($32,773)","Retired ($247,799); Lawyers/Law Firms ($233,737); Electronics Mfg & Equip ($176,915); Securities & Investment ($144,513); Internet ($123,725)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ed,Case,$5.68M,"$5,680,000",https://www.opensecrets.org/members-of-congress/ed-case/summary?cid=N00025882,"Across the Aisle PAC ($10,000); American Council of Engineering Cos ($10,000); American Federation of Teachers ($10,000); American Hotel & Lodging Assn ($10,000); Chugach Alaska ($10,000)","Misc Defense ($59,000); Defense Aerospace ($49,300); Public Sector Unions ($34,000); Building Trade Unions ($27,000); Securities & Investment ($25,128)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Andy,Harris,$5.62M,"$5,620,000",https://www.opensecrets.org/members-of-congress/andy-harris/summary?cid=N00029147,"House Freedom Fund ($32,850); American Israel Public Affairs Cmte ($20,588); NAI Michael Co ($18,900); Harrison Group (Maryland) ($13,200); Altria Group ($10,000)","Retired ($125,431); Health Professionals ($108,593); Real Estate ($68,091); Republican/Conservative ($67,077); Crop Production & Basic Processing ($48,200)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Josh,Harder,$5.62M,"$5,620,000",https://www.opensecrets.org/members-of-congress/josh-harder/summary?cid=N00040853,"Google Inc ($63,030); American Israel Public Affairs Cmte ($49,804); Bessemer Venture Partners ($47,100); Stanford University ($33,671); JStreetPAC ($30,910)","Retired ($961,903); Securities & Investment ($427,345); Lawyers/Law Firms ($337,879); Education ($242,787); Real Estate ($172,235)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Robert,Wittman,$5.56M,"$5,560,000",https://www.opensecrets.org/members-of-congress/wittman-rob/summary?cid=N00029459&cycle=2024,"ES3 Inc ($41,600); American Israel Public Affairs Cmte ($36,851); CACI International ($33,525); Altria Group ($32,305); Johnson Group ($19,800)","Misc Defense ($252,061); Retired ($216,078); Lobbyists ($192,727); Defense Aerospace ($161,115); Real Estate ($141,230)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Deborah,Ross,$5.56M,"$5,560,000",https://www.opensecrets.org/members-of-congress/ross-deborah/summary?cid=N00038565&cycle=2024,"American Israel Public Affairs Cmte ($55,438); Duke University ($20,264); North Carolina Museum of Natural Sciences ($18,400); North Carolina State University ($14,580); Debnam Property Management ($13,200)","Retired ($213,420); Lawyers/Law Firms ($174,012); Pharmaceuticals/Health Products ($101,935); Health Professionals ($100,061); Real Estate ($82,125)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Virginia,Foxx,$5.36M,"$5,360,000",https://www.opensecrets.org/members-of-congress/virginia-foxx/summary?cid=N00026166,"Apollo Global Management ($52,700); Apollo Management ($19,100); Bob Barker Co ($15,900); South College ($14,900); Randy Marion Automotive Group ($14,200)","Retired ($212,319); Securities & Investment ($210,146); Pro-Israel ($121,269); Insurance ($95,253); For-Profit Education ($94,625)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ayanna,Pressley,$5.25M,"$5,250,000",https://www.opensecrets.org/members-of-congress/ayanna-pressley/summary?cid=N00042581,"Wiley & Assoc ($14,700); Massachusetts Institute of Technology ($12,166); Brigham & Women'S Hospital ($10,156); Teamsters Union ($10,050); Machinists/Aerospace Workers Union ($10,000)","Retired ($155,220); Education ($101,447); Health Professionals ($65,639); Lawyers/Law Firms ($57,114); Real Estate ($44,274)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Maxine,Dexter,$5.20M,"$5,200,000",https://www.opensecrets.org/members-of-congress/maxine-dexter/summary?cid=N00054144&cycle=2024,"Northwest Permanente ($20,228); Servenco Management ($16,500); Oregon Health & Science University ($16,125); State of Oregon ($13,600); Affordable Housing Management Group ($13,200)","Democratic/Liberal ($297,833); Health Professionals ($181,210); Retired ($150,198); Real Estate ($144,525); Securities & Investment ($126,085)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ashley,Hinson,$5.03M,"$5,030,000",https://www.opensecrets.org/members-of-congress/ashley-hinson/summary?cid=N00044521,"McCoy Group ($29,700); American Israel Public Affairs Cmte ($23,846); Apollo Global Management ($20,700); Marquis Energy ($18,500); Poet LLC ($16,600)","Retired ($777,626); Securities & Investment ($404,253); Real Estate ($321,285); Republican/Conservative ($302,276); Leadership PACs ($203,100)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
John,Garamendi,$4.97M,"$4,970,000",https://www.opensecrets.org/members-of-congress/john-garamendi/summary?cid=N00030856,"Edison Chouest Offshore ($19,800); Dutra Group ($13,400); Akt Development ($13,200); Downey Brand Llp ($12,850); Grupe Co ($12,400)","Transportation Unions ($99,500); Real Estate ($88,535); Sea Transport ($55,435); Building Trade Unions ($55,000); Lawyers/Law Firms ($49,895)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Deb,Fischer,$4.86M,"$4,860,000",https://www.opensecrets.org/members-of-congress/fischer-deb/summary?cid=N00033443&cycle=2024,"American Israel Public Affairs Cmte ($430,658); Tenaska Inc ($59,630); Union Pacific Corp ($56,750); National Republican Senatorial Cmte ($52,801); Marquis Energy ($42,100)","Retired ($620,673); Leadership PACs ($583,239); Securities & Investment ($509,009); Pro-Israel ($506,136); Lobbyists ($379,823)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Brian,Schatz,$4.81M,"$4,810,000",https://www.opensecrets.org/members-of-congress/brian-schatz/summary?cid=N00028138,"Charter Communications ($48,900); Matson Inc ($33,188); DISH Network ($24,200); Rocket Mortgage ($20,500); Emerson Collective ($17,900)","Leadership PACs ($347,000); Real Estate ($269,897); Casinos/Gambling ($232,450); Lawyers/Law Firms ($205,362); Lobbyists ($190,359)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
David,Joyce,$4.72M,"$4,720,000",https://www.opensecrets.org/members-of-congress/joyce-david-p/summary?cid=N00035007&cycle=2024,"GEO Group ($47,900); Microsoft Corp ($23,200); MBE Ventures (Ohio) ($23,100); Rod PAC ($15,000); Ronyak Paving ($13,200)","Lobbyists ($126,008); Securities & Investment ($89,100); Real Estate ($89,040); Health Professionals ($87,555); Misc Manufacturing & Distributing ($84,135)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Shelley,Capito,$4.68M,"$4,680,000",https://www.opensecrets.org/members-of-congress/capito-shelley-moore/summary?cid=N00009771&cycle=2024,"Williams Companies ($49,200); Blackstone Group ($46,800); FirstEnergy Corp ($45,325); GEO Group ($44,500); Senior Star ($41,900)","Securities & Investment ($503,215); Retired ($489,796); Oil & Gas ($403,066); Leadership PACs ($382,499); Lawyers/Law Firms ($279,750)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Brad,Knott,$4.67M,"$4,670,000",https://www.opensecrets.org/members-of-congress/brad-knott/summary?cid=N00053743&cycle=2024,"Kane Realty ($29,706); Anderson Automotive Group (North Carolina) ($21,800); Cisco Systems ($20,300); Udacity ($19,800); Building Up Democracy's Dream ($15,000)","Retired ($242,884); Real Estate ($149,006); Leadership PACs ($94,250); Securities & Investment ($92,350); Health Professionals ($76,475)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Derek,Tran,$4.61M,"$4,610,000",https://www.opensecrets.org/campaign-expenditures/vendor?year=2024&vendor=Derek%20Tran%20for%20Congress,,,,,,,,
Frank,Pallone,$4.48M,"$4,480,000",,,,,,,,,
Jim,Costa,$4.45M,"$4,450,000",https://www.opensecrets.org/members-of-congress/jim-costa/summary?cid=N00026341,"American Israel Public Affairs Cmte ($136,472); Wonderful Co ($16,500); California Strategies ($14,600); Forhan Co ($13,200); San Joaquin Valley College ($11,300)","Crop Production & Basic Processing ($176,650); Pro-Israel ($141,472); Agricultural Services/Products ($126,900); Oil & Gas ($99,300); Dairy ($67,150)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Christopher,Deluzio,$4.40M,"$4,400,000",https://www.opensecrets.org/members-of-congress/deluzio-christopher/summary?cid=N00049160&cycle=2024,"JStreetPAC ($146,620); American Israel Public Affairs Cmte ($37,900); Digidems PAC ($33,500); Fair Shot PAC ($23,200); Titan Robotics (Pennsylvania) ($20,456)","Retired ($543,267); Lawyers/Law Firms ($488,401); Securities & Investment ($443,571); Leadership PACs ($355,205); Pro-Israel ($217,181)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Yassamin,Ansari,$4.39M,"$4,390,000",https://www.opensecrets.org/campaign-expenditures/vendor?cycle=2024&vendor=Yassamin+Ansari+for+Congress,,,,,,,,
Chris,Pappas,$4.39M,"$4,390,000",https://www.opensecrets.org/members-of-congress/chris-pappas/summary?cid=N00042161,"American Israel Public Affairs Cmte ($315,442); Lone Pine Capital ($26,400); Fair Shot PAC ($23,200); Harvard University ($20,170); Service Employees International Union ($15,000)","Leadership PACs ($413,906); Retired ($378,558); Pro-Israel ($322,794); Securities & Investment ($282,099); Democratic/Liberal ($214,260)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Byron,Donalds,$4.37M,"$4,370,000",https://www.opensecrets.org/members-of-congress/byron-donalds/summary?cid=N00034016,"Robinhood Markets ($31,500); Cassidy Organization ($19,800); House Freedom Fund ($17,055); Andreessen Horowitz ($16,500); American Israel Public Affairs Cmte ($14,560)","Retired ($1,390,799); Republican/Conservative ($821,141); Securities & Investment ($267,272); Real Estate ($181,648); Insurance ($108,110)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Catherine,Masto,$4.36M,"$4,360,000",https://www.opensecrets.org/members-of-congress/catherine-cortez-masto/summary?cid=N00037161,"Emily's List ($536,883); JStreetPAC ($241,976); Google Inc ($113,368); Microsoft Corp ($82,184); MGM Resorts International ($63,733)","Retired ($9,977,573); Lawyers/Law Firms ($3,001,330); Education ($2,008,205); Securities & Investment ($1,934,849); Health Professionals ($1,578,961)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Jennifer,Kiggans,$4.25M,"$4,250,000",https://www.opensecrets.org/members-of-congress/jen-kiggans/summary?cid=N00048315&cycle=2024,"American Israel Public Affairs Cmte ($49,051); Hepburn & Sons ($33,000); Franklin Johnston Group ($31,600); London Bridge Trading Co ($19,760); Blackstone Group ($19,200)","Retired ($1,492,779); Leadership PACs ($469,200); Real Estate ($404,938); Securities & Investment ($360,067); Republican/Conservative ($179,097)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Joyce,Beatty,$4.13M,"$4,130,000",https://www.opensecrets.org/members-of-congress/joyce-beatty/summary?cid=N00033904,"American Israel Public Affairs Cmte ($45,050); National Assn of Realtors ($35,500); Service Employees International Union ($20,000); Ohio State University ($18,940); Nationwide ($17,550)","Insurance ($204,220); Real Estate ($183,750); Commercial Banks ($154,220); Securities & Investment ($149,035); Lawyers/Law Firms ($66,420)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Brad,Finstad,$4.03M,"$4,030,000",https://www.opensecrets.org/members-of-congress/brad-finstad/summary?cid=N00050649,"MR Paving ($25,800); Christensen Farms ($20,800); King Capital Corp ($20,071); Starkey Hearing Technologies ($18,500); Target Corp ($17,700)","Crop Production & Basic Processing ($142,307); Retired ($140,026); Agricultural Services/Products ($117,846); Renewable Energy ($70,750); Leadership PACs ($65,069)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Gerald,Connolly,$4.02M,"$4,020,000",https://www.opensecrets.org/members-of-congress/gerry-connolly/summary?cid=N00029891,"GBA Assoc ($24,000); Service Employees International Union ($20,000); Fairfax County, Va ($19,965); Casepoint ($19,800); 300brand ($17,500)","Retired ($224,959); Electronics Mfg & Equip ($119,587); Public Sector Unions ($113,705); Misc Defense ($100,815); Lawyers/Law Firms ($92,211)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Harriet,Hageman,$4.00M,"$4,000,000",https://www.opensecrets.org/members-of-congress/hageman-harriet/summary?cid=N00049197&cycle=2024,"Minshall Development ($26,400); American Israel Public Affairs Cmte ($15,500); Deering Wine ($13,200); Kemmerer Resources ($13,200); Quantum Capital Group ($13,200)","Retired ($1,056,681); Casinos/Gambling ($117,128); Republican/Conservative ($101,913); Real Estate ($99,780); Human Rights ($77,496)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Sean,Casten,$3.99M,"$3,990,000",https://www.opensecrets.org/members-of-congress/sean-casten/summary?cid=N00041338,"Argonne National Laboratory ($28,260); JStreetPAC ($28,125); Grippo & Elden ($26,400); Lone Pine Capital ($26,400); CME Group ($24,400)","Retired ($391,859); Securities & Investment ($266,833); Lawyers/Law Firms ($195,539); Education ($137,594); Commercial Banks ($117,887)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Steny,Hoyer,$3.93M,"$3,930,000",https://www.opensecrets.org/members-of-congress/hoyer-steny-h/summary?cid=N00001821&cycle=2024,"American Israel Public Affairs Cmte ($241,150); Smartronix Inc ($18,200); AmeriPAC: The Fund for a Greater America ($15,757); Medstar Shah Medical Group ($13,650); Constellation Energy ($13,000)","Pro-Israel ($250,850); Electric Utilities ($100,750); Health Professionals ($93,358); Securities & Investment ($73,350); Insurance ($71,050)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Jake,Auchincloss,$3.91M,"$3,910,000",https://www.opensecrets.org/members-of-congress/jake-auchincloss/summary?cid=N00045506,"American Israel Public Affairs Cmte ($444,480); RA Capital Management ($47,450); Bain Capital ($39,600); Deerfield Management ($37,000); Berkshire Partners ($36,550)","Securities & Investment ($738,438); Pro-Israel ($501,140); Real Estate ($235,930); Pharmaceuticals/Health Products ($221,215); Non-Profit Institutions ($102,631)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Raja,Krishnamoorthi,$3.88M,"$3,880,000",https://www.opensecrets.org/members-of-congress/raja-krishnamoorthi/summary?cid=N00033240,"Kirkland & Ellis ($333,943); Quinn, Emanuel et al ($39,650); Northwestern University ($39,504); MS International ($32,550); McKinsey & Co ($30,900)","Health Professionals ($1,107,011); Lawyers/Law Firms ($1,046,806); Retired ($636,906); Securities & Investment ($499,810); Real Estate ($289,042)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Mike,Crapo,$3.87M,"$3,870,000",https://www.opensecrets.org/members-of-congress/mike-crapo/summary?cid=N00006267,"UnitedHealth Group ($119,900); Apollo Global Management ($58,650); Elevance Health ($47,900); American Israel Public Affairs Cmte ($45,550); Capital Group ($45,000)","Securities & Investment ($706,859); Leadership PACs ($507,700); Insurance ($451,510); Pharmaceuticals/Health Products ($368,407); Real Estate ($305,163)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Ted,Lieu,$3.86M,"$3,860,000",https://www.opensecrets.org/members-of-congress/ted-lieu/summary?cid=N00035825,"American Israel Public Affairs Cmte ($44,987); Cotchett, Pitre & McCarthy ($26,450); Seville Classics ($26,400); Google Inc ($19,445); Stanford University ($17,050)","Lawyers/Law Firms ($208,588); Retired ($196,268); Real Estate ($187,756); TV/Movies/Music ($112,771); Securities & Investment ($99,770)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Maggie,Goodlander,$3.83M,"$3,830,000",https://www.opensecrets.org/members-of-congress/maggie-goodlander/summary?cid=N00055218&cycle=2024,"American Israel Public Affairs Cmte ($63,850); Blackstone Group ($57,400); NorPAC ($51,100); Bain Capital ($43,150); Freepoint Commodities ($39,600)","Securities & Investment ($847,525); Lawyers/Law Firms ($433,147); Retired ($430,101); Education ($244,284); Non-Profit Institutions ($178,554)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Wesley,Hunt,$3.78M,"$3,780,000",https://www.opensecrets.org/members-of-congress/wesley-hunt/summary?cid=N00044362,"American Israel Public Affairs Cmte ($56,724); Blackstone Group ($19,800); Lanier Law Firm ($19,800); Adams Resources & Energy ($18,200); ConocoPhillips ($16,652)","Retired ($605,541); Oil & Gas ($282,086); Human Rights ($234,348); Republican/Conservative ($170,072); Securities & Investment ($150,701)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Sydney,Kamlager-Dove,$3.78M,"$3,780,000",https://www.opensecrets.org/members-of-congress/kamlager-sydney/summary?cid=N00049460&cycle=2024,"Vistria Group ($26,900); JStreetPAC ($21,800); Ariel Investments ($15,200); American Crystal Sugar ($15,000); Service Employees International Union ($15,000)","Securities & Investment ($91,962); TV/Movies/Music ($65,300); Building Trade Unions ($49,500); Lawyers/Law Firms ($48,468); Health Professionals ($43,854)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Maxine,Waters,$3.74M,"$3,740,000",https://www.opensecrets.org/members-of-congress/maxine-waters/summary?cid=N00006690,"Marvin Engineering ($23,100); Brownstein, Hyatt et al ($15,350); America's Credit Unions ($15,000); Service Employees International Union ($15,000); Nissan of Bowie ($13,200)","Real Estate ($114,049); Insurance ($102,101); Lawyers/Law Firms ($66,440); Lobbyists ($46,800); Securities & Investment ($44,775)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Young,Kim,$3.62M,"$3,620,000",https://www.opensecrets.org/members-of-congress/young-kim/summary?cid=N00042386,"American Israel Public Affairs Cmte ($221,197); Uni Caps LLC ($19,800); Comcast Corp ($16,600); Transdigm Group ($16,600); Bp Industries ($16,500)","Retired ($2,248,124); Leadership PACs ($601,000); Securities & Investment ($547,831); Republican/Conservative ($522,526); Real Estate ($432,343)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Brian,Babin,$3.61M,"$3,610,000",https://www.opensecrets.org/members-of-congress/brian-babin/summary?cid=N00005736,"Trans-Global Solutions ($32,700); Nash Real Estate ($19,800); Bulldog PAC ($15,999); American Dental Assn ($10,000); SpaceX ($10,000)","Health Professionals ($119,605); Retired ($78,852); Real Estate ($57,450); Oil & Gas ($57,150); Air Transport ($44,491)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
James,McGovern,$3.56M,"$3,560,000",https://www.opensecrets.org/members-of-congress/mcgovern-james-p/summary?cid=N00000179&cycle=2024,"JStreetPAC ($13,800); King & Spalding ($13,000); Ischemix ($10,600); Air Line Pilots Assn ($10,000); American Crystal Sugar ($10,000)","Retired ($81,573); Building Trade Unions ($74,500); Lawyers/Law Firms ($63,354); Lobbyists ($63,155); Public Sector Unions ($49,510)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Nanette,Barragán,$3.51M,"$3,510,000",https://www.opensecrets.org/members-of-congress/barragan-nanette/summary?cid=N00037019&cycle=2024,"American Israel Public Affairs Cmte ($49,522); theGroup DC ($14,750); Amgen Inc ($12,500); Eli Lilly & Co ($10,800); America's Credit Unions ($10,000)","Pharmaceuticals/Health Products ($172,115); Health Professionals ($109,390); Lobbyists ($68,900); Lawyers/Law Firms ($60,215); Pro-Israel ($49,522)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Doug,LaMalfa,$3.50M,"$3,500,000",https://www.opensecrets.org/members-of-congress/doug-lamalfa/summary?cid=N00033987,"Musco Family Olive ($13,200); American Israel Public Affairs Cmte ($10,000); California Rice Industry Assn ($10,000); Huck PAC ($10,000); National Auto Dealers Assn ($10,000)","Crop Production & Basic Processing ($180,582); Casinos/Gambling ($81,725); Retired ($70,380); Civil Servants/Public Officials ($49,475); Real Estate ($45,300)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
John,Carter,$3.45M,"$3,450,000",https://www.opensecrets.org/members-of-congress/carter-john/summary?cid=N00025095&cycle=2024,"Ametrine Inc ($28,900); Scientific Research Corp ($27,000); Trident Research ($26,400); Standard Industries ($23,100); Trideum Corp ($19,800)","Lobbyists ($116,450); Misc Defense ($115,000); Defense Electronics ($90,000); Electronics Mfg & Equip ($81,980); Leadership PACs ($76,100)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
John,Boozman,$3.44M,"$3,440,000",https://www.opensecrets.org/members-of-congress/john-boozman/summary?cid=N00013873,"Pro-Israel America PAC ($64,500); Stephens Inc ($63,700); National Republican Senatorial Cmte ($51,200); Tyson Foods ($46,250); McKee Foods ($39,400)","Crop Production & Basic Processing ($591,520); Securities & Investment ($563,314); Leadership PACs ($539,550); Real Estate ($396,593); Health Professionals ($379,770)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Derek,Schmidt,$3.43M,"$3,430,000",https://www.opensecrets.org/members-of-congress/derek-schmidt/summary?cid=N00055179&cycle=2024,"Watco Companies ($45,400); Monarch Cement ($26,400); SNK Real Property Holdings ($19,800); Berexco Inc ($17,000); Hodgdon Powder ($16,500)","Retired ($107,301); Leadership PACs ($92,800); Railroads ($59,737); Real Estate ($56,344); Insurance ($53,260)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Nancy,Mace,$3.43M,"$3,430,000",https://www.opensecrets.org/members-of-congress/nancy-mace/summary?cid=N00035670,"American Israel Public Affairs Cmte ($43,305); Club for Growth ($28,100); Oracle Corp ($19,900); Gs Supply Co ($16,500); Veterans Guardian VA Claim Consulting ($14,700)","Republican/Conservative ($485,687); Retired ($384,711); Securities & Investment ($196,148); Leadership PACs ($187,000); Real Estate ($111,989)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Jim,Banks,$3.40M,"$3,400,000",https://www.opensecrets.org/members-of-congress/jim-banks/summary?cid=N00037185,"American Israel Public Affairs Cmte ($205,242); Blackstone Group ($52,400); Club for Growth ($51,685); AM General Corp ($30,801); Poet LLC ($29,200)","Retired ($980,496); Securities & Investment ($616,809); Republican/Conservative ($483,027); Leadership PACs ($471,000); Pro-Israel ($323,685)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Patty,Murray,$3.38M,"$3,380,000",https://www.opensecrets.org/members-of-congress/patty-murray/summary?cid=N00007876,"University of Washington ($163,529); Microsoft Corp ($147,005); American Israel Public Affairs Cmte ($123,650); Amazon.com ($112,004); Boeing Co ($58,498)","Retired ($3,503,367); Lawyers/Law Firms ($1,029,183); Health Professionals ($692,565); Real Estate ($678,090); Securities & Investment ($665,296)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Maria,Cantwell,$3.34M,"$3,340,000",https://www.opensecrets.org/members-of-congress/cantwell-maria/summary?cid=N00007836&cycle=2024,"American Israel Public Affairs Cmte ($219,500); T-Mobile USA ($120,850); Microsoft Corp ($115,720); University of Washington ($72,389); Amazon.com ($64,231)","Retired ($1,824,292); Real Estate ($824,257); Securities & Investment ($823,664); Lawyers/Law Firms ($800,838); Lobbyists ($677,448)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
David,Scott,$3.26M,"$3,260,000",https://www.opensecrets.org/members-of-congress/david-scott/summary?cid=N00024871,"American Israel Public Affairs Cmte ($37,500); CME Group ($15,000); Fifth Third Bancorp ($12,500); National Confectioners Assn ($11,000); AFLAC Inc ($10,000)","Crop Production & Basic Processing ($116,000); Commercial Banks ($110,450); Agricultural Services/Products ($107,000); Securities & Investment ($100,100); Insurance ($75,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Bennie,Thompson,$3.25M,"$3,250,000",https://www.opensecrets.org/members-of-congress/thompson-bennie-g/summary?cid=N00003288&cycle=2024,"AFLAC Inc ($12,401); Entergy Corp ($10,336); National Rural Electric Cooperative Assn ($10,250); Altria Group ($10,000); America's Credit Unions ($10,000)","Lawyers/Law Firms ($82,357); Lobbyists ($62,503); Crop Production & Basic Processing ($60,860); Public Sector Unions ($54,000); Democratic/Liberal ($48,812)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Jon,Ossoff,$3.25M,"$3,250,000",https://www.opensecrets.org/members-of-congress/ossoff-jon/summary?cid=N00040675&cycle=2024,"Google Inc ($1,096,742); Apple Inc ($368,950); Microsoft Corp ($360,001); Amazon.com ($312,392); Meta ($279,277)","Democratic/Liberal ($20,842,514); Retired ($12,659,021); Education ($9,697,805); Lawyers/Law Firms ($7,170,605); Health Professionals ($5,445,880)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Rosa,DeLauro,$3.22M,"$3,220,000",https://www.opensecrets.org/members-of-congress/delauro-rosa/summary?cid=N00000615&cycle=2024,"Yale University ($48,989); RTX Corp ($21,115); GiveGreen United Action ($18,200); Institute for Aegean Prehistory ($16,500); JStreetPAC ($15,293)","Health Professionals ($138,648); Lobbyists ($114,034); Lawyers/Law Firms ($103,826); Education ($85,503); Retired ($73,471)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Jonathan,Jackson,$3.15M,"$3,150,000",https://www.opensecrets.org/campaign-expenditures/vendor?cycle=2024&vendor=Jonathan+Jackson+for+Congress,,,,,,,,
William,Keating,$3.15M,"$3,150,000",https://www.opensecrets.org/members-of-congress/keating-bill/summary?cid=N00031933&cycle=2024,"Keches Law Group ($13,025); American Israel Public Affairs Cmte ($11,000); Strategic Marketing Innovations ($10,100); American Crystal Sugar ($10,000); American Federation of State/Cnty/Munic Employees ($10,000)","Building Trade Unions ($55,500); Lobbyists ($53,650); Lawyers/Law Firms ($48,077); Defense Aerospace ($29,000); Crop Production & Basic Processing ($27,000)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
