first_name,last_name,current_net_worth,normalized_net_worth,slug_url,top_contributors,top_industries,contributors_period_start,contributors_period_end,contributors_period,industries_period_start,industries_period_end,industries_period
April,Delaney,$152.73M,"$152,730,000",,,,,,,,,
Tim,Sheehy,$150.98M,"$150,980,000",https://www.opensecrets.org/members-of-congress/tim-sheehy/summary?cid=N00053174,"Blackstone Group ($200,510); Senate Conservatives Fund ($196,986); Welsh, Carson et al ($72,594); Yellowstone Bank ($66,500); AAON Inc ($59,900)","Retired ($6,855,566); Securities & Investment ($2,043,057); Republican/Conservative ($1,935,149); Real Estate ($1,272,566); Oil & Gas ($887,744)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Suzan,DelBene,$140.84M,"$140,840,000",https://www.opensecrets.org/members-of-congress/delbene-suzan/summary?cid=N00030693&cycle=2024,"American Israel Public Affairs Cmte ($123,400); Microsoft Corp ($110,898); Amazon.com ($47,732); T-Mobile USA ($23,423); Apollo Global Management ($22,100)","Retired ($312,475); Insurance ($210,462); Real Estate ($209,917); Health Professionals ($204,810); Democratic/Liberal ($191,301)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Bernie,Moreno,$139.04M,"$139,040,000",https://www.opensecrets.org/members-of-congress/bernie-moreno/summary?cid=N00048437,"Senate Conservatives Fund ($254,803); Club for Growth ($69,599); Marshall Goldman Sales & Leasing ($52,800); National Republican Senatorial Cmte ($52,800); Goldman Sachs ($46,100)","Retired ($3,684,915); Republican/Conservative ($1,956,337); Securities & Investment ($1,335,781); Real Estate ($1,111,753); Automotive ($1,044,035)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Kevin,Hern,$108.33M,"$108,330,000",https://www.opensecrets.org/members-of-congress/kevin-hern/summary?cid=N00040829,"American Israel Public Affairs Cmte ($31,350); Jim Norton Toyota ($26,100); Capitol Tax Partners ($20,650); McDonald's Corp ($18,332); Akin, Gump et al ($17,000)","Oil & Gas ($203,855); Republican/Conservative ($182,420); Real Estate ($174,132); Insurance ($162,237); Lobbyists ($151,038)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Donald,Jr.,$106.87M,"$106,870,000",,,,,,,,,
Jay,Obernolte,$97.76M,"$97,760,000",https://www.opensecrets.org/members-of-congress/jay-obernolte/summary?cid=N00045377,"Google Inc ($37,700); Mehlman Consulting ($14,850); Innovative Federal Strategies ($14,400); Apple Valley Communications ($13,200); Chandi Group Usa ($13,200)","Electronics Mfg & Equip ($133,250); Lobbyists ($121,100); Health Professionals ($96,475); Pharmaceuticals/Health Products ($91,530); Electric Utilities ($75,135)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Sara,Jacobs,$87.29M,"$87,290,000",https://www.opensecrets.org/members-of-congress/sara-jacobs/summary?cid=N00042081,"Jacobs Investment Co ($19,800); Service Employees International Union ($15,000); Singleton, Schreiber et al ($14,950); JStreetPAC ($14,754); Salk Institute for Biological Studies ($13,350)","Retired ($115,472); Securities & Investment ($47,093); Democratic/Liberal ($46,875); Real Estate ($46,158); Lawyers/Law Firms ($45,389)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Gilbert,Jr.,$77.96M,"$77,960,000",,,,,,,,,
Roger,Williams,$74.63M,"$74,630,000",https://www.opensecrets.org/members-of-congress/roger-williams/summary?cid=N00030602,"Lenders & Members Service Group ($26,400); DOUBLE EAGLE ENERGY ($25,400); Sam Pack Auto Group ($19,800); Luther King Capital Management ($18,200); Hillwood Development ($16,700)","Retired ($201,299); Real Estate ($185,476); Automotive ($181,725); Securities & Investment ($178,934); Oil & Gas ($137,675)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Daniel,Meuser,$69.06M,"$69,060,000",https://www.opensecrets.org/members-of-congress/meuser-dan/summary?cid=N00029416&cycle=2024,"Pride Mobility Products ($32,300); Pace-O-Matic Inc ($15,335); Robindale Energy Services ($13,200); PNC Financial Services ($12,500); Asher'S Chocolates ($12,400)","Securities & Investment ($135,050); Commercial Banks ($130,650); Insurance ($101,160); Real Estate ($96,414); Retired ($88,026)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ron,Johnson,$67.32M,"$67,320,000",https://www.opensecrets.org/members-of-congress/ron-johnson/summary?cid=N00032546,"Senate Conservatives Fund ($83,924); National Republican Senatorial Cmte ($51,201); Johnsonville Sausage ($38,525); Klondike Cheese ($34,800); Oral Surgery Clinic of La Crosse ($33,066)","Retired ($13,068,971); Republican/Conservative ($1,696,337); Securities & Investment ($1,379,520); Real Estate ($1,340,546); Health Professionals ($737,874)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Markwayne,Mullin,$65.46M,"$65,460,000",https://www.opensecrets.org/members-of-congress/markwayne-mullin/summary?cid=N00033410,"American Israel Public Affairs Cmte ($89,000); Hilliary Communications ($65,650); National Republican Senatorial Cmte ($50,000); Ameristate Bank ($37,600); Devon Energy ($30,000)","Oil & Gas ($482,516); Lobbyists ($301,605); Leadership PACs ($294,100); Health Professionals ($251,241); Retired ($245,376)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Mitch,McConnell,$64.29M,"$64,290,000",https://www.opensecrets.org/members-of-congress/mcconnell-mitch/summary?cid=N00003389&cycle=2024,"Kent Companies ($688,132); NorPAC ($163,575); Blackstone Group ($118,430); United Parcel Service ($110,113); Humana Inc ($68,838)","Retired ($23,931,381); Real Estate ($2,201,224); Securities & Investment ($1,982,763); Health Professionals ($1,764,364); Republican/Conservative ($1,211,733)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
Scott,Peters,$59.02M,"$59,020,000",https://www.opensecrets.org/members-of-congress/peters-scott/summary?cid=N00033591&cycle=2024,"Ra Capital Management ($39,600); Qualcomm Inc ($27,400); General Atomics ($26,900); Kleiner, Perkins et al ($26,400); Klein Financial ($26,200)","Pharmaceuticals/Health Products ($351,378); Securities & Investment ($172,538); Real Estate ($100,066); Health Professionals ($99,892); Health Services/HMOs ($77,430)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
John,Rose,$57.92M,"$57,920,000",https://www.opensecrets.org/members-of-congress/rose-john/summary?cid=N00041599&cycle=2024,"American Israel Public Affairs Cmte ($26,908); Next Generation Underwriters ($23,200); Russell Street Ventures ($23,200); R&S Northeast LLC ($21,300); J&S Construction (Tennessee) ($17,200)","Retired ($353,856); Real Estate ($109,081); Health Professionals ($102,379); Commercial Banks ($79,400); Insurance ($51,672)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
Ralph,Norman,$57.00M,"$57,000,000",https://www.opensecrets.org/members-of-congress/ralph-norman/summary?cid=N00027783,"House Freedom Fund ($34,300); ACA International ($10,000); Manufactured Housing Institute ($10,000); National Apartment Assn ($10,000); National Assn of Insurance & Financial Advisors ($10,000)","Republican/Conservative ($39,625); Retired ($34,695); Real Estate ($26,671); Leadership PACs ($23,500); Insurance ($19,430)",2023,2024,2023 - 2024,2023,2024,2023 - 2024
James,Risch,$56.52M,"$56,520,000",https://www.opensecrets.org/members-of-congress/risch-james-e/summary?cid=N00029441&cycle=2024,"General Atomics ($35,100); National Republican Senatorial Cmte ($35,001); Delta Air Lines ($34,955); Alpha Services (Idaho) ($22,772); Apollo Global Management ($22,400)","Leadership PACs ($329,217); Securities & Investment ($251,038); Retired ($205,818); Electric Utilities ($143,967); Oil & Gas ($143,644)",2019,2024,2019 - 2024,2019,2024,2019 - 2024
